case,baseline,mass_relative,energy_relative,mass_posthoc_relative,energy_posthoc_relative,mass_absolute_kg,energy_absolute_J,elapsed_s,run_complete
q23_limit_closed_ends_1D,False,-1.007905114351414e-07,5.4073621352529852e-08,-3.5074625413955106e-07,-1.8330294767959664e-07,-2.0440044518066358e-09,0.0034349522393313237,12.023497581481934,True
q23_F01_r96_z0_v2,False,4.2734844445406396e-09,-6.9424000282399101e-09,6.7274226199528995e-06,1.5273408292730472e-06,8.9531065894377093e-10,-0.0036088071610720363,18.77145791053772,True
q23_sensitivity_eq0.200_1D,False,-4.5526653036730876e-08,-3.4386414489815331e-08,6.3568554829899132e-06,1.0463099023732463e-06,-9.2444875643415969e-09,-0.017361645928758662,20.241922616958618,True
q23_sensitivity_eq0.050_1D,False,-4.7545206586474955e-10,7.6503972942237001e-09,6.8584963393281618e-06,1.6708298478643257e-06,-9.9663471919697599e-11,0.0039781436607881915,15.446800231933594,True
q23_sensitivity_eq0.200_1D_eventchecked,False,-4.5526653036730876e-08,-3.4386414489815331e-08,6.3568554829899132e-06,1.0463099023732463e-06,-9.2444875643415969e-09,-0.017361645928758662,24.003861904144287,True
q23_F01_r96_Radau,False,-3.839343699501996e-13,-8.2990020060445462e-11,6.7275461570615141e-06,1.5386574972270144e-06,-8.0435658134092591e-14,-4.3139976696693338e-05,53.418701887130737,True
q23_sensitivity_eq0.200_2D,False,5.1053590169401769e-08,4.3576014041804794e-09,6.9115242766719675e-06,1.1210822753304203e-06,1.0366768931138748e-08,0.0022001509190658908,93.424258708953857,True
q23_sensitivity_eq0.200_paired1D_eventchecked,False,-2.8744699100711559e-08,-6.5798306087588763e-09,6.367580744920216e-06,1.0741644364480961e-06,-5.8368009869802506e-09,-0.003322145797937992,20.674472093582153,True
q1_F11_r96_z128_v2,False,1.3861297465078281e-06,-1.5579323680517083e-08,3.2928093845579828e-07,-6.524015839125066e-07,1.9155240787104531e-09,-0.00011813358596124424,118.26705193519592,True
q23_F10_r96_z128_retry,False,-2.6145014203801095e-08,-3.0574856821450907e-07,6.2974205176657715e-07,-0.00012150055307323723,-5.4839379218241113e-09,-0.0066758506674204909,714.17385959625244,True
q23_sensitivity_eq0.120_1D,False,4.6982702261127594e-08,3.9579081223014579e-08,6.5892813216530811e-06,1.3842209408866844e-06,9.7980479563108958e-09,0.020490500994128524,24.278907537460327,True
q1_B_r512_v2,True,-1.6256390276153568e-10,,-5.7730665442079689e-08,,-3.0251808003090019e-12,,5.8274435997009277,True
q23_limit_closed_ends_2D,False,2.3887371803762415e-08,-9.4510736370152789e-08,-2.4837658500146204e-07,-3.4790335021309852e-07,4.8442933692216528e-10,-0.006003664398804176,33.525857448577881,True
q23_F10_r48_z64_v2,False,-1.5009091399858943e-09,-3.854499688017516e-08,6.5400359557864359e-07,-0.00012123353073818658,-3.1482015258599283e-10,-0.00084160808148681099,147.36989331245422,True
q23_F11_r96_z128_v2,False,-2.4256142938143038e-08,-4.7010344448046196e-09,7.1885958353737883e-06,1.6111086464936594e-06,-5.0885046593007743e-09,-0.0024468249662277231,1040.1200861930847,True
q23_gas2_1D,False,-3.2362189739248156e-08,-1.3643864329044673e-08,1.0223139754456195e-05,4.8186227574669593e-06,-6.7800662584271976e-09,-0.0070902457937336294,22.703332424163818,True
q1_F10_r48_z64_v2,False,-2.4203696168734781e-07,2.0005216919487459e-07,-2.4862044700665989e-07,2.0948068127420214e-07,-1.0599868003734886e-09,0.001111112163865613,18.248481035232544,True
q23_sensitivity_eq0.200_2D_eventchecked,False,5.1053590169401769e-08,4.3576014041804794e-09,6.9115242766719675e-06,1.1210822753304203e-06,1.0366768931138748e-08,0.0022001509190658908,85.494112014770508,True
q23_gas0.5_1D,False,-2.8228710359066294e-08,9.6731183322392747e-09,3.9097665545610465e-06,-1.0777847326834031e-06,-5.9140334018881191e-09,0.0050308393529121531,16.515417337417603,True
q1_F01_r48_z0_v2,False,2.3934193302670504e-07,-9.0337967854303849e-08,-8.6986010202595312e-07,-7.0810007000825538e-07,2.9043677879370122e-10,-0.00063808208341953332,3.2681753635406494,True
q1_F00_r96_z0_v2,False,-2.6253759497144443e-08,-5.5492912129010441e-08,-2.8288653338437759e-08,-4.4778015429517392e-08,-9.863620510641713e-11,-0.00029586806981996006,2.9182686805725098,True
