question,contrast,field,max_abs,signed_at_max,time_s,r_m
1,B_to_F00,T,1.2889046055406723,-1.2889046055406723,1800,0
1,B_to_F00,C,0.80249331027893867,0.80249331027893867,1800,0.02
1,G0,T,1.8970408028451402e-05,-1.8970408028451402e-05,240,0.02
1,G0,C,8.1642044813534653e-07,-8.1642044813534653e-07,1380,0.02
1,G1,T,1.9699718833976476e-05,1.9699718833976476e-05,1140,0.02
1,G1,C,9.6140060534821714e-07,9.6140060534821714e-07,960,0.02
1,L1,T,1.7188969092772766,-1.7188969092772766,1800,0.02
1,L1,C,0.16761460776018788,0.16761460776018788,1800,0.02
1,L2,T,1.7188974830845396,-1.7188974830845396,1800,0.02
1,L2,C,0.1676146981863802,0.1676146981863802,1800,0.02
1,I,T,2.0824973823607706e-05,2.0824973823607706e-05,1140,0.02
1,I,C,9.8192364950122624e-07,9.8192364950122624e-07,960,0.02
2,B_to_F00,T,0.25102994161075287,-0.25102994161075287,3310,0.02
2,B_to_F00,C,0.79271120177131249,0.79271120177131249,2250,0.02
2,G0,T,0.0019661545025755345,0.0019661545025755345,8810,0
2,G0,C,3.4993787781267827e-05,-3.4993787781267827e-05,10800,0
2,G1,T,3.7199239862673039e-05,3.7199239862673039e-05,6300,0.02
2,G1,C,1.2981031050074421e-06,-1.2981031050074421e-06,5100,0.02
2,L1,T,7.7661758535392948,-7.7661758535392948,10800,0.02
2,L1,C,0.91021520382105536,0.91021520382105536,10800,0.02
2,L2,T,7.7670743691660107,-7.7670743691660107,10800,0.02
2,L2,C,0.91022724283986967,0.91022724283986967,10800,0.02
2,I,T,0.0019601891929994508,-0.0019601891929994508,8820,0
2,I,C,3.477729896284032e-05,3.477729896284032e-05,10800,0
