question,group,case,time_s,r_m,T,C
1,B,q1_B_r512_v2,100,0,28.000053328090061,2.5499999999999998
1,B,q1_B_r512_v2,100,0.0050000000000000001,28.000347454097454,2.5499999999999998
1,B,q1_B_r512_v2,100,0.01,28.004045737345763,2.5499999999999998
1,B,q1_B_r512_v2,100,0.014999999999999999,28.032702396710789,2.5499999578837849
1,B,q1_B_r512_v2,100,0.02,28.180070390158686,2.2470558912508696
1,B,q1_B_r512_v2,300,0,28.040792063308004,2.5499999999999998
1,B,q1_B_r512_v2,300,0.0050000000000000001,28.063488559572271,2.5499999999999998
1,B,q1_B_r512_v2,300,0.01,28.151395808189768,2.5499999990075124
1,B,q1_B_r512_v2,300,0.014999999999999999,28.368069313519634,2.5491993093085408
1,B,q1_B_r512_v2,300,0.02,28.848850960330129,2.050844093105181
1,B,q1_B_r512_v2,600,0,28.453330368406384,2.5499999999999998
1,B,q1_B_r512_v2,600,0.0050000000000000001,28.536030932851375,2.5499999997873823
1,B,q1_B_r512_v2,600,0.01,28.803943774824376,2.5499885886111704
1,B,q1_B_r512_v2,600,0.014999999999999999,29.315914858382403,2.5352757082721085
1,B,q1_B_r512_v2,600,0.02,30.165227414957815,1.8769674893362907
1,B,q1_B_r512_v2,900,0,29.324294461734368,2.5499999999442244
1,B,q1_B_r512_v2,900,0.0050000000000000001,29.458250509536981,2.5499997959037399
1,B,q1_B_r512_v2,900,0.01,29.875453560509666,2.5496837026680197
1,B,q1_B_r512_v2,900,0.014999999999999999,30.616141123295353,2.5045438915540199
1,B,q1_B_r512_v2,900,0.02,31.7303998929081,1.7547172817146945
1,B,q1_B_r512_v2,1200,0,30.542718754407264,2.5499999803098707
1,B,q1_B_r512_v2,1200,0.0050000000000000001,30.709768298616069,2.5499929745744447
1,B,q1_B_r512_v2,1200,0.01,31.222348135759933,2.5481800438151647
1,B,q1_B_r512_v2,1200,0.014999999999999999,32.11255798373039,2.4645697975282741
1,B,q1_B_r512_v2,1200,0.02,33.427633744852848,1.6585608932847917
1,B,q1_B_r512_v2,1500,0,31.995719608757256,2.5499993075742342
1,B,q1_B_r512_v2,1500,0.0050000000000000001,32.186733369530153,2.5499377751120544
1,B,q1_B_r512_v2,1500,0.01,32.766020206276423,2.5445410483832114
1,B,q1_B_r512_v2,1500,0.014999999999999999,33.746276694288191,2.4206116621374578
1,B,q1_B_r512_v2,1500,0.02,35.120263356071973,1.5787262244709916
1,B,q1_B_r512_v2,1800,0,33.575344151600603,2.5499923869946559
1,B,q1_B_r512_v2,1800,0.0050000000000000001,33.772001256534686,2.5497237636230645
1,B,q1_B_r512_v2,1800,0.01,34.364160204411768,2.5382997215033924
1,B,q1_B_r512_v2,1800,0.014999999999999999,35.362123827368293,2.3754715778712456
1,B,q1_B_r512_v2,1800,0.02,36.785559809058981,1.5102375121638869
1,F00,q1_F00_r96_z0_v2,100,0,28.000005552572109,2.5499999999999998
1,F00,q1_F00_r96_z0_v2,100,0.0050000000000000001,28.000073942969575,2.5499999999999998
1,F00,q1_F00_r96_z0_v2,100,0.01,28.001653078177213,2.5499999999999998
1,F00,q1_F00_r96_z0_v2,100,0.014999999999999999,28.021251670482592,2.5499999858706874
1,F00,q1_F00_r96_z0_v2,100,0.02,28.159524875742104,2.4917081552200315
1,F00,q1_F00_r96_z0_v2,300,0,28.015585202350785,2.5499999999999998
1,F00,q1_F00_r96_z0_v2,300,0.0050000000000000001,28.029732390969016,2.5499999999999998
1,F00,q1_F00_r96_z0_v2,300,0.01,28.09362238930029,2.5499999996695561
1,F00,q1_F00_r96_z0_v2,300,0.014999999999999999,28.280914277109961,2.5498371594369513
