time_s,Mdry,Mwater,enthalpy,meanT,meanC,maxC,minC,minT,maxT,js_min,js_max,drive_min,drive_max,condensation_area_fraction,pressure_law_sign_ok,max_r,max_z,sideT,sideC,coreT,coreC,end_centerT,end_centerC,cornerT,cornerC,side_water_kg_s,side_heat_W,side_latent_W,side_sensible_W,end_water_kg_s,end_heat_W,end_latent_W,end_sensible_W
0.000000000000000000e+00,7.256636551953889180e-02,1.850442320748241776e-01,0.000000000000000000e+00,2.800000000000000711e+01,2.550000000000000266e+00,2.549999999999999822e+00,2.549999999999999822e+00,2.800000000000000000e+01,2.800000000000000000e+01,9.024676290818065623e-05,9.024676290818065623e-05,5.941827150892263489e+02,5.941827150892263489e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.835185673626002233e-06,0.000000000000000000e+00,6.903370915226563653e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,7.256636551953889180e-02,1.850442292427330326e-01,-6.893374273623691269e-03,2.799999216490904175e+01,2.549999960972399560e+00,2.549999999999999822e+00,2.549963679154469975e+00,2.799428095808095662e+01,2.800000000000000000e+01,9.006559992974689805e-05,9.006559992974689805e-05,5.929899428317180536e+02,5.929899428317180536e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.799428095808095662e+01,2.549963679154469975e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.799428095808095662e+01,2.549963679154469975e+00,2.829494270804502515e-06,4.498636523447434137e-03,6.889551169721086943e+00,-6.773783669775896112e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000021e-02,7.256636551953889180e-02,1.850442038706103243e-01,-6.855675771200007984e-02,2.799992207538336331e+01,2.549999611332142369e+00,2.549999999999999822e+00,2.549670637311479027e+00,2.797693017236449009e+01,2.800000000000000000e+01,8.951428501624072184e-05,8.951428501624072184e-05,5.893601049430840249e+02,5.893601049430840249e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.797693017236449009e+01,2.549670637311479027e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.797693017236449009e+01,2.549670637311479027e+00,2.812174201983647775e-06,1.818811529320544726e-02,6.847493640135667192e+00,-2.715725020696285828e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000056e-01,7.256636551953889180e-02,1.850439535504758148e-01,-6.741972821205018951e-01,2.799923361716230019e+01,2.549996161798288252e+00,2.549999999999999822e+00,2.548238043422474952e+00,2.792486544105121027e+01,2.800000000000000000e+01,8.784992783559082078e-05,8.784992783559082078e-05,5.784020866978708000e+02,5.784020866978708000e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.792486544105121027e+01,2.548238043422474952e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.792486544105121027e+01,2.548238043422474952e+00,2.759886879066856291e-06,5.970169498984547601e-02,6.720516066512580267e+00,-8.680210299427066961e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
2.999999999999999889e-01,7.256636551953889180e-02,1.850434074882042201e-01,-1.987016526211503376e+00,2.799774110597990884e+01,2.549988636793175001e+00,2.549999999999999822e+00,2.546861106608008907e+00,2.787141633792344919e+01,2.800000000000000000e+01,8.612999399190740719e-05,8.612999399190740719e-05,5.670782377840091613e+02,5.670782377840091613e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.787141633792344919e+01,2.546861106608008907e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.787141633792344919e+01,2.546861106608008907e+00,2.705853563787093515e-06,1.030628231892100344e-01,6.589282654967492547e+00,-1.456428953309602545e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000000e+00,7.256636551953889180e-02,1.850415524578831739e-01,-6.399295194787829821e+00,2.799272398882501278e+01,2.549963073568287442e+00,2.549999999999999822e+00,2.544261831513132233e+00,2.777289956356841216e+01,2.800000000000000000e+01,8.292120448637180620e-05,8.292120448637180620e-05,5.459521664089520527e+02,5.459521664089520527e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.777289956356841216e+01,2.544261831513132233e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.777289956356841216e+01,2.544261831513132233e+00,2.605046468412026944e-06,1.852757695180262398e-01,6.344403590140053062e+00,-2.476467696925326034e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
2.000000000000000000e+00,7.256636551953889180e-02,1.850389939511938309e-01,-1.240378879998865713e+01,2.798589497805976478e+01,2.549927816095062472e+00,2.549999999999999822e+00,2.542020514676234022e+00,2.768905237249646945e+01,2.800000000000000000e+01,8.014126138109082056e-05,8.014126138109082056e-05,5.276497981474326480e+02,5.276497981474326480e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.768905237249646945e+01,2.542020514676234022e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.768905237249646945e+01,2.542020514676234022e+00,2.517711980042543387e-06,2.580407032298631664e-01,6.132205130084273925e+00,-3.277121309175029355e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
3.000000000000000000e+00,7.256636551953889180e-02,1.850365095504269142e-01,-1.816523893735726247e+01,2.797934128368766693e+01,2.549893579837684054e+00,2.549999999999999822e+00,2.540381950446881643e+00,2.762861121758850658e+01,2.800000000000000000e+01,7.810221850800993626e-05,7.810221850800993626e-05,5.142254699075692770e+02,5.142254699075692770e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.762861121758850658e+01,2.540381950446881643e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.762861121758850658e+01,2.540381950446881643e+00,2.453653558938288247e-06,3.124225791260932250e-01,5.976532904891977971e+00,-3.814531880689624871e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
4.000000000000000000e+00,7.256636551953889180e-02,1.850340827287133005e-01,-2.373703038731523307e+01,2.797300250218940931e+01,2.549860137047815556e+00,2.549999999999999822e+00,2.539051864033257111e+00,2.758017176024769412e+01,2.800000000000000000e+01,7.644242044986930833e-05,7.644242044986930833e-05,5.032980575120482172e+02,5.032980575120482172e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.758017176024769412e+01,2.539051864033257111e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.758017176024769412e+01,2.539051864033257111e+00,2.401509465079315881e-06,3.573783437954345943e-01,5.849796595387272369e+00,-4.220415163304935477e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
5.000000000000000000e+00,7.256636551953889180e-02,1.850317040365838384e-01,-2.914969804574565160e+01,2.796684407997679500e+01,2.549827357507150616e+00,2.549999999999999822e+00,2.537917076620751278e+00,2.753933779347283917e+01,2.800000000000000000e+01,7.502257890197574152e-05,7.502257890197574152e-05,4.939504938934446727e+02,4.939504938934446727e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.753933779347283917e+01,2.537917076620751278e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.753933779347283917e+01,2.537917076620751278e+00,2.356903827318076384e-06,3.963607701425362895e-01,5.741369697824372231e+00,-4.544893062944246540e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
