time_s,Mdry,Mwater,enthalpy,meanT,meanC,maxC,minC,minT,maxT,js_min,js_max,drive_min,drive_max,condensation_area_fraction,pressure_law_sign_ok,max_r,max_z,sideT,sideC,coreT,coreC,end_centerT,end_centerC,cornerT,cornerC,side_water_kg_s,side_heat_W,side_latent_W,side_sensible_W,end_water_kg_s,end_heat_W,end_latent_W,end_sensible_W
0.000000000000000000e+00,8.640707230887532952e-02,2.203380343876321090e-01,nan,2.800000000000001066e+01,2.550000000000000266e+00,2.549999999999999822e+00,2.549999999999999822e+00,2.800000000000000000e+01,2.800000000000000000e+01,5.567669336338028525e-04,5.567669336338028525e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,1.749134908465671174e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,8.640707230887532952e-02,2.203380169001780964e-01,nan,2.800000000000330402e+01,2.549999797615478236e+00,2.549999999999999822e+00,2.549108485537981306e+00,2.800000000000000000e+01,2.800000000405520950e+01,5.565707688862389039e-04,5.565707688862389039e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000405520950e+01,2.549108485537981306e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000405520950e+01,2.549108485537981306e+00,1.748518638735830909e-05,6.908318883652809551e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,8.640707230887532952e-02,2.203378596099854203e-01,nan,2.800000000032951064e+01,2.549997977276141636e+00,2.549999999999999822e+00,2.547013984425093636e+00,2.800000000000000000e+01,2.800000012986083320e+01,5.561098949693884727e-04,5.561098949693884727e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000012986083320e+01,2.547013984425093636e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000012986083320e+01,2.547013984425093636e+00,1.747070760624422261e-05,6.901304592037444817e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,8.640707230887532952e-02,2.203362896473016752e-01,nan,2.800000003287170713e+01,2.549979807899008577e+00,2.549999999999999822e+00,2.540441206083163372e+00,2.800000000000000000e+01,2.800000411321488158e+01,5.546635328359663742e-04,5.546635328359663742e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000411321488158e+01,2.540441206083163372e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000411321488158e+01,2.540441206083163372e+00,1.742526879971633137e-05,6.879198723750460601e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,8.640707230887532952e-02,2.203328098706683891e-01,nan,2.800000029508967714e+01,2.549939536002967078e+00,2.549999999999999822e+00,2.533438371005660272e+00,2.800000000000000000e+01,2.800002135348447396e+01,5.531223863594201184e-04,5.531223863594201184e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800002135348447396e+01,2.533438371005660272e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800002135348447396e+01,2.533438371005660272e+00,1.737685225522809469e-05,2.056680163880909677e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.640707230887532952e-02,2.203206822543476995e-01,nan,2.800000326241822890e+01,2.549799181562102390e+00,2.549999999999999822e+00,2.519829544602547156e+00,2.800000000000000000e+01,2.800012964723876152e+01,5.501269833802653044e-04,5.501269833802653044e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800012964723876152e+01,2.519829544602547156e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800012964723876152e+01,2.519829544602547156e+00,1.728274889528955710e-05,6.809679134685330502e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,8.640707230887532952e-02,2.203034448225935082e-01,nan,2.800001298997911192e+01,2.549599690579551936e+00,2.549999999999999822e+00,2.507445105338703240e+00,2.800000000000000000e+01,2.800036586323227539e+01,5.474005578935684435e-04,5.474005578935684435e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800036586323227539e+01,2.507445105338703240e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800036586323227539e+01,2.507445105338703240e+00,1.719709571249389111e-05,1.353565936511261572e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,8.640707230887532952e-02,2.202862815457010681e-01,nan,2.800002912471430960e+01,2.549401057800615877e+00,2.549999999999999822e+00,2.497992291665871445e+00,2.800000000000000000e+01,2.800067094801896062e+01,5.453191891340973280e-04,5.453191891340973280e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800067094801896062e+01,2.497992291665871445e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800067094801896062e+01,2.497992291665871445e+00,1.713170758445223195e-05,2.020755017186492281e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,8.640707230887532952e-02,2.202691779621406276e-01,nan,2.800005162367477496e+01,2.549203115860177338e+00,2.549999999999999822e+00,2.490056709104493837e+00,2.800000000000000000e+01,2.800103145234635704e+01,5.435716625058316246e-04,5.435716625058316246e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800103145234635704e+01,2.490056709104493837e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800103145234635704e+01,2.490056709104493837e+00,1.707680741627911041e-05,2.683591457312911599e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,8.640707230887532952e-02,2.202521257151326128e-01,nan,2.800008045100512888e+01,2.549005768044166675e+00,2.549999999999999822e+00,2.483090559275626497e+00,2.800000000000000000e+01,2.800143960471724824e+01,5.420374438482752867e-04,5.420374438482752867e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800143960471724824e+01,2.483090559275626497e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800143960471724824e+01,2.483090559275626497e+00,1.702860851564331769e-05,3.342685628854303453e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,8.640707230887532952e-02,2.202351191669443264e-01,nan,2.800011557529332151e+01,2.548808949106389665e+00,2.549999999999999822e+00,2.476812945214111661e+00,2.800000000000000000e+01,2.800189016266612541e+01,5.406547263339850405e-04,5.406547263339850405e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800189016266612541e+01,2.476812945214111661e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800189016266612541e+01,2.476812945214111661e+00,1.698516916379447760e-05,3.998449274088897165e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,8.640707230887532952e-02,2.202181541792876673e-01,nan,2.800015696825734324e+01,2.548612611153912244e+00,2.549999999999999822e+00,2.471057026358283171e+00,2.800000000000000000e+01,2.800237927842341534e+01,5.393867993997132973e-04,5.393867993997132973e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800237927842341534e+01,2.471057026358283171e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800237927842341534e+01,2.471057026358283171e+00,1.694533606437450773e-05,4.651184596132008908e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,8.640707230887532952e-02,2.202012275459998836e-01,nan,2.800020460397641386e+01,2.548416717081408045e+00,2.549999999999999822e+00,2.465714090785852353e+00,2.800000000000000000e+01,2.800290397123523078e+01,5.382097427477873161e-04,5.382097427477873161e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800290397123523078e+01,2.465714090785852353e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800290397123523078e+01,2.465714090785852353e+00,1.690835773906901104e-05,5.301125702847057919e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,8.640707230887532952e-02,2.201843366879457364e-01,nan,2.800025845839454774e+01,2.548221237040216636e+00,2.549999999999999822e+00,2.460708651069013708e+00,2.800000000000000000e+01,2.800346184357751156e+01,5.371069465924022037e-04,5.371069465924022037e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800346184357751156e+01,2.460708651069013708e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800346184357751156e+01,2.460708651069013708e+00,1.687371237606736190e-05,5.948460895333120696e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,8.640707230887532952e-02,2.201674794715760275e-01,nan,2.800031850897686425e+01,2.548026146338503661e+00,2.549999999999999822e+00,2.455985735090604472e+00,2.800000000000000000e+01,2.800405091238466326e+01,5.360663152095697902e-04,5.360663152095697902e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800405091238466326e+01,2.455985735090604472e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800405091238466326e+01,2.455985735090604472e+00,1.684101997699335009e-05,6.593345923197771463e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
