time_s,Mdry,Mwater,enthalpy,meanT,meanC,maxC,minC,minT,maxT,js_min,js_max,drive_min,drive_max,condensation_area_fraction,pressure_law_sign_ok,max_r,max_z,sideT,sideC,coreT,coreC,end_centerT,end_centerC,cornerT,cornerC,side_water_kg_s,side_heat_W,side_latent_W,side_sensible_W,end_water_kg_s,end_heat_W,end_latent_W,end_sensible_W
0.000000000000000000e+00,8.640707230887532952e-02,2.203380343876321090e-01,nan,2.800000000000000711e+01,2.550000000000000266e+00,2.549999999999999822e+00,2.549999999999999822e+00,2.800000000000000000e+01,2.800000000000000000e+01,5.567669336338028525e-04,5.567669336338028525e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,1.749134908465671174e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,8.640707230887532952e-02,2.203380168975474229e-01,nan,2.800000000000649436e+01,2.549999797585033257e+00,2.549999999999999822e+00,2.549814080716841680e+00,2.800000000000000000e+01,2.800000000398526367e+01,5.567260236766927769e-04,5.567260236766927769e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000398526367e+01,2.549814080716841680e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000398526367e+01,2.549814080716841680e+00,1.749006386044955536e-05,6.908373818976801253e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,8.640707230887532952e-02,2.203378595362328607e-01,nan,2.800000000034096104e+01,2.549997976422594181e+00,2.549999999999999822e+00,2.548312661126836076e+00,2.800000000000000000e+01,2.800000011915075149e+01,5.563956477427025758e-04,5.563956477427025758e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000011915075149e+01,2.548312661126836076e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000011915075149e+01,2.548312661126836076e+00,1.747968479437809032e-05,6.902145759887962117e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,8.640707230887532952e-02,2.203362889837012506e-01,nan,2.800000003288571193e+01,2.549979800219077219e+00,2.549999999999999822e+00,2.541242922900166956e+00,2.800000000000000000e+01,2.800000402843322078e+01,5.548399376359939173e-04,5.548399376359939173e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000402843322078e+01,2.541242922900166956e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000402843322078e+01,2.541242922900166956e+00,1.743081071995457613e-05,6.879864597357305189e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,8.640707230887532952e-02,2.203328080831971625e-01,nan,2.800000029512750288e+01,2.549939515316336003e+00,2.549999999999999822e+00,2.534226428778255880e+00,2.800000000000000000e+01,2.800002113739248344e+01,5.532957857079637319e-04,5.532957857079637319e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800002113739248344e+01,2.534226428778255880e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800002113739248344e+01,2.534226428778255880e+00,1.738229975642331400e-05,2.056849882133391857e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.640707230887532952e-02,2.203206770394797176e-01,nan,2.800000326268003548e+01,2.549799121209773922e+00,2.549999999999999822e+00,2.520487124577488025e+00,2.800000000000000000e+01,2.800012906709891425e+01,5.502716732028078072e-04,5.502716732028078072e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800012906709891425e+01,2.520487124577488025e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800012906709891425e+01,2.520487124577488025e+00,1.728729446012504438e-05,6.810134775455892013e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,8.640707230887532952e-02,2.203034353555563263e-01,nan,2.800001299088163975e+01,2.549599581016330774e+00,2.549999999999999822e+00,2.508028750861639011e+00,2.800000000000000000e+01,2.800036483658610820e+01,5.475289796374770753e-04,5.475289796374770753e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800036483658610820e+01,2.508028750861639011e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800036483658610820e+01,2.508028750861639011e+00,1.720113020056613545e-05,1.353646569112678527e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,8.640707230887532952e-02,2.202862681948961621e-01,nan,2.800002912658830212e+01,2.549400903290058196e+00,2.549999999999999822e+00,2.498534616354617821e+00,2.800000000000000000e+01,2.800066951608539156e+01,5.454385188977237033e-04,5.454385188977237033e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800066951608539156e+01,2.498534616354617821e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800066951608539156e+01,2.498534616354617821e+00,1.713545643953986550e-05,2.020867480986016443e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,8.640707230887532952e-02,2.202691609554283392e-01,nan,2.800005162682544579e+01,2.549202919039340376e+00,2.549999999999999822e+00,2.490569869525114832e+00,2.800000000000000000e+01,2.800102963899158581e+01,5.436845751446360260e-04,5.436845751446360260e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800102963899158581e+01,2.490569869525114832e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800102963899158581e+01,2.490569869525114832e+00,1.708035467144476639e-05,2.683733877863602943e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,8.640707230887532952e-02,2.202521052310198180e-01,nan,2.800008045573112270e+01,2.549005530978933010e+00,2.549999999999999822e+00,2.483583345223316474e+00,2.800000000000000000e+01,2.800143744002467372e+01,5.421458734143203137e-04,5.421458734143203137e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800143744002467372e+01,2.483583345223316474e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800143744002467372e+01,2.483583345223316474e+00,1.703201493092450713e-05,3.342855643411538763e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
