time_s,Mdry,Mwater,enthalpy,meanT,meanC,maxC,minC,minT,maxT,js_min,js_max,drive_min,drive_max,condensation_area_fraction,pressure_law_sign_ok,max_r,max_z,sideT,sideC,coreT,coreC,end_centerT,end_centerC,cornerT,cornerC,side_water_kg_s,side_heat_W,side_latent_W,side_sensible_W,end_water_kg_s,end_heat_W,end_latent_W,end_sensible_W
0.000000000000000000e+00,8.640707230887532952e-02,2.203380343876321090e-01,0.000000000000000000e+00,2.800000000000000000e+01,2.550000000000000266e+00,2.549999999999999822e+00,2.549999999999999822e+00,2.800000000000000000e+01,2.800000000000000000e+01,9.069961583532442013e-05,9.069961583532442013e-05,5.971642888666715407e+02,5.971642888666715407e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.849412467916716864e-06,0.000000000000000000e+00,6.938011622830670966e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,8.640707230887532952e-02,2.203380315419488367e-01,-6.925990434164652071e-03,2.799999338880344624e+01,2.549999967066546969e+00,2.549999999999999822e+00,2.549920388382000080e+00,2.799418871428845179e+01,2.800000000000000000e+01,9.051386028694959356e-05,9.051386028694959356e-05,5.959412792331700075e+02,5.959412792331700075e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.799418871428845179e+01,2.549920388382000080e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.799418871428845179e+01,2.549920388382000080e+00,2.843576785255337804e-06,4.571084628665544533e-03,6.923841380944432800e+00,-6.917296827576122781e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000021e-02,8.640707230887532952e-02,2.203380060213886160e-01,-6.896793201821550812e-02,2.799993416540052849e+01,2.549999671713868654e+00,2.549999999999999822e+00,2.549555948393025240e+00,2.798076384461568722e+01,2.800000000000000000e+01,9.008293284549939608e-05,9.008293284549939608e-05,5.931040698785877794e+02,5.931040698785877794e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.798076384461568722e+01,2.549555948393025240e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.798076384461568722e+01,2.549555948393025240e+00,2.830038800412436161e-06,1.517715614804746038e-02,6.890967365448918969e+00,-2.278819307296274651e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000056e-01,8.640707230887532952e-02,2.203377535431970125e-01,-6.805849767179067422e-01,2.799935029432658595e+01,2.549996749751755498e+00,2.549999999999999822e+00,2.548498029654143959e+00,2.793931360215751880e+01,2.800000000000000000e+01,8.874527855365440426e-05,8.874527855365440426e-05,5.842970570912857511e+02,5.842970570912857511e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.793931360215751880e+01,2.548498029654143959e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.793931360215751880e+01,2.548498029654143959e+00,2.788015151449405016e-06,4.835413579248031002e-02,6.788915256585687175e+00,-7.082485816678370238e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
2.999999999999999889e-01,8.640707230887532952e-02,2.203372007549564138e-01,-2.012969888878103131e+00,2.799807823524453099e+01,2.549990352263380444e+00,2.549999999999999822e+00,2.547392004537685217e+00,2.789625529085358835e+01,2.800000000000000000e+01,8.734263802747651911e-05,8.734263802747651911e-05,5.750622629868239528e+02,5.750622629868239528e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.789625529085358835e+01,2.547392004537685217e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.789625529085358835e+01,2.547392004537685217e+00,2.743949899722727429e-06,8.355435517716307270e-02,6.681893765776806937e+00,-1.191629809908424219e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000000e+00,8.640707230887532952e-02,2.203353122908287831e-01,-6.525997631056841719e+00,2.799376890849075039e+01,2.549968496828667330e+00,2.549999999999999822e+00,2.545308938320440806e+00,2.781580801870320485e+01,2.800000000000000000e+01,8.468103708675121615e-05,8.468103708675121615e-05,5.575388820945904627e+02,5.575388820945904627e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.781580801870320485e+01,2.545308938320440806e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.781580801870320485e+01,2.545308938320440806e+00,2.660333240101024402e-06,1.515755476609382535e-01,6.478781042107066845e+00,-2.051190442990852812e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
2.000000000000000000e+00,8.640707230887532952e-02,2.203326912208200261e-01,-1.272280299011887372e+01,2.798785079616187588e+01,2.549938162853233159e+00,2.549999999999999822e+00,2.543483791572333175e+00,2.774625410049907259e+01,2.800000000000000000e+01,8.232902351654955160e-05,8.232902351654955160e-05,5.420540167643571294e+02,5.420540167643571294e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.774625410049907259e+01,2.543483791572333175e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.774625410049907259e+01,2.543483791572333175e+00,2.586442554568134132e-06,2.131145711134582454e-01,6.299257806971045426e+00,-2.747268419873515055e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
3.000000000000000000e+00,8.640707230887532952e-02,2.203301333492912739e-01,-1.871230971890460637e+01,2.798212986247017753e+01,2.549908560281818559e+00,2.549999999999999822e+00,2.542134143820780512e+00,2.769547522825355301e+01,2.800000000000000000e+01,8.057638064507606935e-05,8.057638064507606935e-05,5.305153680931121016e+02,5.305153680931121016e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.769547522825355301e+01,2.542134143820780512e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.769547522825355301e+01,2.542134143820780512e+00,2.531381654874258033e-06,2.599077079523783862e-01,6.165460960741254937e+00,-3.226855208856499631e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
4.000000000000000000e+00,8.640707230887532952e-02,2.203276252712386696e-01,-2.453772814774192312e+01,2.797656505301934615e+01,2.549879533976614709e+00,2.549999999999999822e+00,2.541029480063325519e+00,2.765437343174189522e+01,2.800000000000000000e+01,7.913226367614022161e-05,7.913226367614022161e-05,5.210080261763960152e+02,5.210080261763960152e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.765437343174189522e+01,2.541029480063325519e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.765437343174189522e+01,2.541029480063325519e+00,2.486013382268925811e-06,2.991004872828682548e-01,6.055202743778361985e+00,-3.596746298785395354e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
5.000000000000000000e+00,8.640707230887532952e-02,2.203251592816583559e-01,-3.022390209147708973e+01,2.797113276175958063e+01,2.549850994766635459e+00,2.549999999999999822e+00,2.540080772667847597e+00,2.761943298774377453e+01,2.800000000000000000e+01,7.788434949003622380e-05,7.788434949003622380e-05,5.127924614193707384e+02,5.127924614193707384e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.761943298774377453e+01,2.540080772667847597e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.761943298774377453e+01,2.540080772667847597e+00,2.446809001875177688e-06,3.334541516651818305e-01,5.959914167876363855e+00,-3.897897676822475229e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
