time_s,Mdry,Mwater,enthalpy,meanT,meanC,maxC,minC,minT,maxT,js_min,js_max,drive_min,drive_max,condensation_area_fraction,pressure_law_sign_ok,max_r,max_z,sideT,sideC,coreT,coreC,end_centerT,end_centerC,cornerT,cornerC,side_water_kg_s,side_heat_W,side_latent_W,side_sensible_W,end_water_kg_s,end_heat_W,end_latent_W,end_sensible_W
0.000000000000000000e+00,8.640707230887532952e-02,2.203380343876321090e-01,0.000000000000000000e+00,2.800000000000000711e+01,2.550000000000000266e+00,2.549999999999999822e+00,2.549999999999999822e+00,2.800000000000000000e+01,2.800000000000000000e+01,9.069961583532442013e-05,9.069961583532442013e-05,5.971642888666715407e+02,5.971642888666715407e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.849412467916716864e-06,0.000000000000000000e+00,6.938011622830670966e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,8.640707230887532952e-02,2.203380315407971746e-01,-6.929700490665449686e-03,2.799999338527232950e+01,2.549999967053218519e+00,2.549999999999999822e+00,2.549969384349660029e+00,2.799530317281361036e+01,2.800000000000000000e+01,9.054963994697569070e-05,9.054963994697569070e-05,5.961768517333252930e+02,5.961768517333252930e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.799530317281361036e+01,2.549969384349660029e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.799530317281361036e+01,2.549969384349660029e+00,2.844700836426197033e-06,3.695790949823375780e-03,6.926570854489537687e+00,-5.592943159266262248e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000021e-02,8.640707230887532952e-02,2.203380060128437568e-01,-6.899531339495489080e-02,2.799993413924037711e+01,2.549999671614978425e+00,2.549999999999999822e+00,2.549725612122035745e+00,2.798154586393717480e+01,2.800000000000000000e+01,9.010877797340444628e-05,9.010877797340444628e-05,5.932742336383903421e+02,5.932742336383903421e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.798154586393717480e+01,2.549725612122035745e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.798154586393717480e+01,2.549725612122035745e+00,2.830850749052011884e-06,1.456295960920979578e-02,6.892939182837212186e+00,-2.186804278969853819e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000056e-01,8.640707230887532952e-02,2.203377534774684510e-01,-6.807954160880554939e-01,2.799935009304741484e+01,2.549996748991070650e+00,2.549999999999999822e+00,2.548592429858389519e+00,2.793985245516871530e+01,2.800000000000000000e+01,8.876292595329872458e-05,8.876292595329872458e-05,5.844132472012897779e+02,5.844132472012897779e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.793985245516871530e+01,2.548592429858389519e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.793985245516871530e+01,2.548592429858389519e+00,2.788569560860180997e-06,4.793092162714539944e-02,6.790261715353496541e+00,-7.020994146658953447e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
2.999999999999999889e-01,8.640707230887532952e-02,2.203372005915554543e-01,-2.013492858743744396e+00,2.799807773478316975e+01,2.549990350372320691e+00,2.549999999999999822e+00,2.547488581938975205e+00,2.789668498829833965e+01,2.800000000000000000e+01,8.735679811147948823e-05,8.735679811147948823e-05,5.751554927098404733e+02,5.751554927098404733e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.789668498829833965e+01,2.547488581938975205e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.789668498829833965e+01,2.547488581938975205e+00,2.744394751881506819e-06,8.321687159323881700e-02,6.682974257470577051e+00,-1.186886618336710671e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000000e+00,8.640707230887532952e-02,2.203353118646590447e-01,-6.527361032716056499e+00,2.799376760289939625e+01,2.549968491896550837e+00,2.549999999999999822e+00,2.545387678609164706e+00,2.781612894751985010e+01,2.800000000000000000e+01,8.469160638516051492e-05,8.469160638516051492e-05,5.576084702222556189e+02,5.576084702222556189e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.781612894751985010e+01,2.545387678609164706e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.781612894751985010e+01,2.545387678609164706e+00,2.660665284403387219e-06,1.513234907577637456e-01,6.479587662500550849e+00,-2.047872099224753040e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
2.000000000000000000e+00,8.640707230887532952e-02,2.203326904983717582e-01,-1.272511409760286050e+01,2.798784858230847661e+01,2.549938154492247477e+00,2.549999999999999822e+00,2.543552454327858481e+00,2.774651643257736566e+01,2.800000000000000000e+01,8.233765590198744843e-05,8.233765590198744843e-05,5.421108523613434045e+02,5.421108523613434045e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.774651643257736566e+01,2.543552454327858481e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.774651643257736566e+01,2.543552454327858481e+00,2.586713748954880620e-06,2.129085359809666234e-01,6.299916696362083179e+00,-2.744715949736483036e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
3.000000000000000000e+00,8.640707230887532952e-02,2.203301323757174135e-01,-1.871542417252891610e+01,2.798212687848374713e+01,2.549908549014524795e+00,2.549999999999999822e+00,2.542197037364523293e+00,2.769570416097154109e+01,2.800000000000000000e+01,8.058391042324289562e-05,8.058391042324289562e-05,5.305649441972223030e+02,5.305649441972223030e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.769570416097154109e+01,2.542197037364523293e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.769570416097154109e+01,2.542197037364523293e+00,2.531618209831978547e-06,2.597279046161289351e-01,6.166035748229028002e+00,-3.224730674072649999e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
4.000000000000000000e+00,8.640707230887532952e-02,2.203276240753052062e-01,-2.454155396287297819e+01,2.797656138694823014e+01,2.549879520135925226e+00,2.549999999999999822e+00,2.541088365100906632e+00,2.765457952371122374e+01,2.800000000000000000e+01,7.913903997891049758e-05,7.913903997891049758e-05,5.210526414567775646e+02,5.210526414567775646e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.765457952371122374e+01,2.541088365100906632e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.765457952371122374e+01,2.541088365100906632e+00,2.486226266098941710e-06,2.989386230286666390e-01,6.055720056875600221e+00,-3.594909427735795866e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
5.000000000000000000e+00,8.640707230887532952e-02,2.203251578836175895e-01,-3.022837446677850792e+01,2.797112847561874460e+01,2.549850978586932548e+00,2.549999999999999822e+00,2.540136583077766907e+00,2.761962122466310277e+01,2.800000000000000000e+01,7.789053828111171533e-05,7.789053828111171533e-05,5.128332085711349464e+02,5.128332085711349464e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.761962122466310277e+01,2.540136583077766907e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.761962122466310277e+01,2.540136583077766907e+00,2.447003428480951424e-06,3.333063107344578224e-01,5.960386662844002537e+00,-3.896279268614056233e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
