time_s,Mdry,Mwater,enthalpy,meanT,meanC,maxC,minC,minT,maxT,js_min,js_max,drive_min,drive_max,condensation_area_fraction,pressure_law_sign_ok,max_r,max_z,sideT,sideC,coreT,coreC,end_centerT,end_centerC,cornerT,cornerC,side_water_kg_s,side_heat_W,side_latent_W,side_sensible_W,end_water_kg_s,end_heat_W,end_latent_W,end_sensible_W
0.000000000000000000e+00,8.640707230887532952e-02,2.203380343876321645e-01,0.000000000000000000e+00,2.800000000000001066e+01,2.550000000000000711e+00,2.549999999999999822e+00,2.549999999999999822e+00,2.800000000000000000e+01,2.800000000000000000e+01,9.069961583532442013e-05,9.069961583532442013e-05,5.971642888666715407e+02,5.971642888666715407e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.849412467916716864e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.279529974333373364e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,8.640707230887532952e-02,2.203380313102842603e-01,2.315689855078983846e-08,2.800000000002211209e+01,2.549999964385463613e+00,2.549999999999999822e+00,2.549995164174678752e+00,2.800000000000000000e+01,2.800000000293123392e+01,9.069944145608220011e-05,9.069946308384161152e-05,5.971631415974966330e+02,5.971632839941921702e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000233976039e+01,2.549996119202847300e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000059177907e+01,2.549999044970419959e+00,2.800000000293123392e+01,2.549995164174678752e+00,2.849407156361749034e-06,6.909664908711327539e-06,0.000000000000000000e+00,2.792729184961855311e-11,2.279526130651457296e-07,5.528818386698638387e-07,0.000000000000000000e+00,5.842079805464622272e-13
1.000000000000000021e-02,8.640707230887532952e-02,2.203380036147569443e-01,1.023175130136448323e-06,2.800000000097667296e+01,2.549999643861615262e+00,2.549999999999999822e+00,2.549951803197767486e+00,2.800000000000000000e+01,2.800000011347608364e+01,9.069787562422474152e-05,9.069808897657016214e-05,5.971528397541187587e+02,5.971542444613201042e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000008771700521e+01,2.549961350863840348e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000002583674430e+01,2.549990452274046415e+00,2.800000011347608364e+01,2.549951803197767486e+00,2.849359444655186801e-06,6.904608889601837032e-05,0.000000000000000000e+00,1.047098658036948060e-09,2.279491554391750208e-07,5.527522942186967718e-06,0.000000000000000000e+00,2.551524513350448012e-11
1.000000000000000056e-01,8.640707230887532952e-02,2.203377266853480121e-01,4.510578267375812278e-05,2.800000004305886847e+01,2.549996438922464748e+00,2.549999999999999822e+00,2.549525004964694030e+00,2.800000000000000000e+01,2.800000424125625287e+01,9.068235136714608232e-05,9.068437626381771152e-05,5.970507039640087896e+02,5.970640358413256763e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000313241800143e+01,2.549620366501477164e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000111533642055e+01,2.549904636007128911e+00,2.800000424125625287e+01,2.549525004964694030e+00,2.848885694207587380e-06,6.886876930825838392e-04,0.000000000000000000e+00,3.739333808394291517e-08,2.279146502106601783e-07,5.521945362325082047e-05,0.000000000000000000e+00,1.102023532082199814e-09
2.999999999999999889e-01,8.640707230887532952e-02,2.203371114407255138e-01,3.473957092609726159e-04,2.800000033166521618e+01,2.549989318618465894e+00,2.549999999999999822e+00,2.548615557840785417e+00,2.800000000000000000e+01,2.800002645507630916e+01,9.064848463423309788e-05,9.065409205113574638e-05,5.968278939970846295e+02,5.968648131230274885e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800001824281175900e+01,2.548900944271837776e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000828882106063e+01,2.549714596901712760e+00,2.800002645507630916e+01,2.548615557840785417e+00,2.847847981337803895e-06,2.059104107241914103e-03,0.000000000000000000e+00,2.177652467170089533e-07,2.278383764418471856e-07,1.653360929290182172e-04,0.000000000000000000e+00,8.196696702931498124e-09
1.000000000000000000e+00,8.640707230887532952e-02,2.203349597898300871e-01,3.702700021090264259e-03,2.800000353572098533e+01,2.549964417289929397e+00,2.549999999999999822e+00,2.545814197929000766e+00,2.800000000000000000e+01,2.800019931517164551e+01,9.053510107416775255e-05,9.055017455984720038e-05,5.960819656885082622e+02,5.961812093284556795e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800012142618139777e+01,2.546757187041275738e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800007915584532725e+01,2.549056894661855477e+00,2.800019931517164551e+01,2.545814197929000766e+00,2.844332019828636051e-06,6.815932750964657019e-03,0.000000000000000000e+00,1.448825678953565104e-06,2.275753501081213970e-07,5.477435132059747368e-04,0.000000000000000000e+00,7.848825805763389914e-08
2.000000000000000000e+00,8.640707230887532952e-02,2.203318904908774800e-01,1.470628612448730832e-02,2.800001404536108041e+01,2.549928895904114867e+00,2.549999999999999822e+00,2.542575486292041109e+00,2.800000000000000000e+01,2.800061484357217267e+01,9.038274427258970178e-05,9.040583117173316445e-05,5.950796874117500010e+02,5.952316914788557369e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800034969938885254e+01,2.544438106875527517e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800027133536509183e+01,2.548137174091212209e+00,2.800061484357217267e+01,2.542575486292041109e+00,2.839521066240484996e-06,1.354755290899317503e-02,0.000000000000000000e+00,4.168739079126706374e-06,2.272075943431325324e-07,1.087990832827009013e-03,0.000000000000000000e+00,2.701932577246760423e-07
3.000000000000000000e+00,8.640707230887532952e-02,2.203288262759914018e-01,3.294624211268204483e-02,2.800003146945583410e+01,2.549893433356846373e+00,2.549999999999999822e+00,2.539912482702127328e+00,2.800000000000000000e+01,2.800116968298083719e+01,9.023692480439884044e-05,9.026560682483289976e-05,5.941204481380664220e+02,5.943092907307272981e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800064742582686605e+01,2.542672289589698487e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800053726484248529e+01,2.547240108468046937e+00,2.800116968298083719e+01,2.539912482702127328e+00,2.834877480986938863e-06,2.022423875087041301e-02,0.000000000000000000e+00,7.709852188285953523e-06,2.268465631157255019e-07,1.623218856810500427e-03,0.000000000000000000e+00,5.371483248811010069e-07
4.000000000000000000e+00,8.640707230887532952e-02,2.203257670008345603e-01,5.836807761837385644e-02,2.800005575757331755e+01,2.549858027977690345e+00,2.549999999999999822e+00,2.537614901345682128e+00,2.800000000000000000e+01,2.800183303080721586e+01,9.009280834078573668e-05,9.012867636778864211e-05,5.931724187548315967e+02,5.934085743895047926e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800100128182166870e+01,2.541250221613486460e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800085936619221982e+01,2.546364972526125037e+00,2.800183303080721586e+01,2.537614901345682128e+00,2.830351200043265644e-06,2.685646155961149417e-02,0.000000000000000000e+00,1.191054137596754836e-05,2.264908305043448623e-07,2.154538488973006295e-03,0.000000000000000000e+00,8.622477459357425565e-07
5.000000000000000000e+00,8.640707230887532952e-02,2.203227125609067416e-01,9.092833962600420372e-02,2.800008686952525494e+01,2.549822678557253308e+00,2.549999999999999822e+00,2.535556903088773684e+00,2.800000000000000000e+01,2.800258655479458625e+01,8.995143817236427063e-05,8.999449711351993717e-05,5.922424683603471749e+02,5.925259694817650598e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800140271862236929e+01,2.540046768980944503e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800122781886250678e+01,2.545511077374405851e+00,2.800258655479458625e+01,2.535556903088773684e+00,2.825911672341221195e-06,3.345094105852344790e-02,0.000000000000000000e+00,1.666672358144633968e-05,2.261395938171679863e-07,2.682572073292312578e-03,0.000000000000000000e+00,1.235857108853679345e-06
