time_s,Mdry,Mwater,enthalpy,meanT,meanC,maxC,minC,minT,maxT,js_min,js_max,drive_min,drive_max,condensation_area_fraction,pressure_law_sign_ok,max_r,max_z,sideT,sideC,coreT,coreC,end_centerT,end_centerC,cornerT,cornerC,side_water_kg_s,side_heat_W,side_latent_W,side_sensible_W,end_water_kg_s,end_heat_W,end_latent_W,end_sensible_W
0.000000000000000000e+00,8.640707230887532952e-02,2.203380343876320258e-01,0.000000000000000000e+00,2.799999999999996803e+01,2.549999999999999378e+00,2.549999999999999822e+00,2.549999999999999822e+00,2.800000000000000000e+01,2.800000000000000000e+01,9.069961583532442013e-05,9.069961583532442013e-05,5.971642888666715407e+02,5.971642888666715407e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.849412467916716440e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.279529974333373364e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,8.640707230887532952e-02,2.203380313102762389e-01,1.018345023872719388e-08,2.800000000000969891e+01,2.549999964385370799e+00,2.549999999999999822e+00,2.549981446415518160e+00,2.800000000000000000e+01,2.800000000445722748e+01,9.069936479123773764e-05,9.069942582534722608e-05,5.971626368378347252e+02,5.971630386850783907e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000254641463e+01,2.549989071502824611e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000191245420e+01,2.549992374898967906e+00,2.800000000445722748e+01,2.549981446415518160e+00,2.849405918386714016e-06,6.909503323307280645e-06,0.000000000000000000e+00,3.038123018596926743e-11,2.279525194232883623e-07,5.527995788722170149e-07,0.000000000000000000e+00,1.833463582145460972e-12
1.000000000000000021e-02,8.640707230887532952e-02,2.203380036144020060e-01,4.522696711926126819e-07,2.800000000043170800e+01,2.549999643857507436e+00,2.549999999999999822e+00,2.549816567777923648e+00,2.800000000000000000e+01,2.800000017242178529e+01,9.069712116466611214e-05,9.069772058561837162e-05,5.971478724088001400e+02,5.971518189833091128e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000009556166347e+01,2.549892280800272637e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000007698528393e+01,2.549924286391132888e+00,2.800000017242178529e+01,2.549816567777923648e+00,2.849347317208097350e-06,6.903995934752247079e-05,0.000000000000000000e+00,1.140179953830667906e-09,2.279482295187505924e-07,5.524340862771392890e-06,0.000000000000000000e+00,7.383955499370034310e-11
1.000000000000000056e-01,8.640707230887532952e-02,2.203377266852511451e-01,3.731352136720055831e-05,2.800000003562155015e+01,2.549996438921343866e+00,2.549999999999999822e+00,2.548341539639273012e+00,2.800000000000000000e+01,2.800000737238578097e+01,9.067582719245238809e-05,9.068102604290412879e-05,5.970077489343370871e+02,5.970419780569309296e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000378264826395e+01,2.549051448387043006e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000360745941208e+01,2.549290057433281742e+00,2.800000737238578097e+01,2.548341539639273012e+00,2.848786342514125229e-06,6.881774368285291810e-04,0.000000000000000000e+00,4.513946175178015772e-08,2.279062089345170408e-07,5.506330546789763107e-05,0.000000000000000000e+00,3.472877899040848364e-09
2.999999999999999889e-01,8.640707230887532952e-02,2.203371114712760204e-01,3.339258605162314579e-04,2.800000031881266338e+01,2.549989318972030627e+00,2.549999999999999822e+00,2.545903122101682570e+00,2.800000000000000000e+01,2.800004030212998174e+01,9.063372375859329757e-05,9.064571027810734997e-05,5.967307086733903816e+02,5.968096276892661081e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800002051197962061e+01,2.547765619132692727e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800001996213762823e+01,2.548137351218324298e+00,2.800004030212998174e+01,2.545903122101682570e+00,2.847650538288500909e-06,2.057322698271125700e-03,0.000000000000000000e+00,2.447872162225244189e-07,2.278171254515080120e-07,1.646034519829370896e-04,0.000000000000000000e+00,1.931573008743966015e-08
1.000000000000000000e+00,8.640707230887532952e-02,2.203349600073252479e-01,3.688680122724295306e-03,2.800000352233292489e+01,2.549964419807028371e+00,2.549999999999999822e+00,2.541079019306824449e+00,2.800000000000000000e+01,2.800025020306805246e+01,9.051010562791656877e-05,9.053287205695557136e-05,5.959173959850686515e+02,5.960672898672455631e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800012719871064704e+01,2.545436646250935020e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800012499265105959e+01,2.545642073949720530e+00,2.800025020306805246e+01,2.541079019306824449e+00,2.844105141447822850e-06,6.811400700174143931e-03,0.000000000000000000e+00,1.517408952399347808e-06,2.275309399060162369e-07,5.448652751130764801e-04,0.000000000000000000e+00,1.221030781602978717e-07
2.000000000000000000e+00,8.640707230887532952e-02,2.203318909589535579e-01,1.467998528785086076e-02,2.800001402018190078e+01,2.549928901321218522e+00,2.549999999999999822e+00,2.536955548567003671e+00,2.800000000000000000e+01,2.800070878277066555e+01,9.035406184739308815e-05,9.038425017091151407e-05,5.948908424197375098e+02,5.950896022412871389e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800036127415084763e+01,2.543382983434027356e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800035551762459463e+01,2.543572442804188150e+00,2.800070878277066555e+01,2.536955548567003671e+00,2.839346501302752535e-06,1.353846726509841392e-02,0.000000000000000000e+00,4.305976505507945908e-06,2.271500113867011984e-07,1.082706348117776695e-03,0.000000000000000000e+00,3.500962020865138064e-07
3.000000000000000000e+00,8.640707230887532952e-02,2.203288269607509287e-01,3.290186793559003037e-02,2.800003142689991620e+01,2.549893441281655182e+00,2.549999999999999822e+00,2.533808485886349882e+00,2.800000000000000000e+01,2.800129957981691220e+01,9.020770329968326050e-05,9.024188768137033679e-05,5.939280535776961187e+02,5.941531237494841662e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800066419240899762e+01,2.541792502490393790e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800065340482941423e+01,2.542016409438428326e+00,2.800129957981691220e+01,2.533808485886349882e+00,2.834738895407323638e-06,2.021108065345602472e-02,0.000000000000000000e+00,7.908274472270194924e-06,2.267822081849300421e-07,1.615930639775198328e-03,0.000000000000000000e+00,6.471117339770137683e-07
4.000000000000000000e+00,8.640707230887532952e-02,2.203257678807140352e-01,5.830083878510613354e-02,2.800005569299646879e+01,2.549858038160647489e+00,2.549999999999999822e+00,2.531148530679343089e+00,2.800000000000000000e+01,2.800199557753914803e+01,9.006743059363811444e-05,9.010359215322699352e-05,5.930053312820855353e+02,5.932434195397654548e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800102243734670893e+01,2.540455647225920099e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800100511188374952e+01,2.540694246219643126e+00,2.800199557753914803e+01,2.531148530679343089e+00,2.830231951400402204e-06,2.683986312819979306e-02,0.000000000000000000e+00,1.216041817722022332e-05,2.264225006657834886e-07,2.145395685854461360e-03,0.000000000000000000e+00,9.999047194039352083e-07
5.000000000000000000e+00,8.640707230887532952e-02,2.203227136240971107e-01,9.083222061151355331e-02,2.800008677713045913e+01,2.549822690861689889e+00,2.549999999999999822e+00,2.528806548405724719e+00,2.800000000000000000e+01,2.800278121253062835e+01,8.993180190637309519e-05,8.996862849914552583e-05,5.921131827049275671e+02,5.923556498922021092e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800142821287785466e+01,2.539282594197039167e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800140283525027840e+01,2.539526647505774282e+00,2.800278121253062835e+01,2.528806548405724719e+00,2.825802058094927577e-06,3.343094326185563903e-02,0.000000000000000000e+00,1.696726101827931928e-05,2.260691413966381259e-07,2.671597269209210861e-03,0.000000000000000000e+00,1.400766046742946434e-06
