time_s,Mdry,Mwater,enthalpy,meanT,meanC,maxC,minC,minT,maxT,js_min,js_max,drive_min,drive_max,condensation_area_fraction,pressure_law_sign_ok,max_r,max_z,sideT,sideC,coreT,coreC,end_centerT,end_centerC,cornerT,cornerC,side_water_kg_s,side_heat_W,side_latent_W,side_sensible_W,end_water_kg_s,end_heat_W,end_latent_W,end_sensible_W
0.000000000000000000e+00,8.640707230887532952e-02,2.203380343876320813e-01,0.000000000000000000e+00,2.799999999999999645e+01,2.549999999999999822e+00,2.549999999999999822e+00,2.549999999999999822e+00,2.800000000000000000e+01,2.800000000000000000e+01,9.069961583532442013e-05,9.069961583532442013e-05,5.971642888666715407e+02,5.971642888666715407e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.849412467916716440e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.279529974333373364e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,8.640707230887532952e-02,2.203380313102752952e-01,6.086981416090075776e-09,2.800000000000582290e+01,2.549999964385359696e+00,2.549999999999999822e+00,2.549961957549416791e+00,2.800000000000000000e+01,2.800000000473070827e+01,9.069925581129332484e-05,9.069942576771258358e-05,5.971619193162605370e+02,5.971630383056130995e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000352159901e+01,2.549969588926882302e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000120990151e+01,2.549992368599787618e+00,2.800000000473070827e+01,2.549961957549416791e+00,2.849402496510778588e-06,6.908737642465061308e-06,0.000000000000000000e+00,4.200935169781598094e-11,2.279525192781925979e-07,5.528439487310075326e-07,0.000000000000000000e+00,1.159631320240395016e-12
1.000000000000000021e-02,8.640707230887532952e-02,2.203380036144928500e-01,3.806400021831404939e-07,2.800000000036335734e+01,2.549999643858559040e+00,2.549999999999999822e+00,2.549648989712189895e+00,2.800000000000000000e+01,2.800000018753291187e+01,9.069618430052875033e-05,9.069771973553580760e-05,5.971417041157042149e+02,5.971518133863842195e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000011928536736e+01,2.549724809847494278e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000006836003408e+01,2.549924178690913923e+00,2.800000018753291187e+01,2.549648989712189895e+00,2.849317914130671723e-06,6.902133075840384937e-05,0.000000000000000000e+00,1.423066408295600202e-09,2.279482273088382449e-07,5.524886767166262609e-06,0.000000000000000000e+00,6.554921730537899368e-11
1.000000000000000056e-01,8.640707230887532952e-02,2.203377266919248623e-01,3.719277882362445370e-05,2.800000003550618999e+01,2.549996438998579418e+00,2.549999999999999822e+00,2.547861008612564593e+00,2.800000000000000000e+01,2.800000762934276111e+01,9.067314386205934079e-05,9.068103205772063552e-05,5.969900819431750278e+02,5.970420176583565990e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000402727219395e+01,2.548570868833635039e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000362063202530e+01,2.549290104802779400e+00,2.800000762934276111e+01,2.547861008612564593e+00,2.848702074546182135e-06,6.879853160566824603e-04,0.000000000000000000e+00,4.805508801159178230e-08,2.279062106472028635e-07,5.506248428120621708e-05,0.000000000000000000e+00,3.485346527689166543e-09
2.999999999999999889e-01,8.640707230887532952e-02,2.203371114922998142e-01,3.337375835982530226e-04,2.800000031863182315e+01,2.549989319215341776e+00,2.549999999999999822e+00,2.545558060252608001e+00,2.800000000000000000e+01,2.800004091142900364e+01,9.063180666406073715e-05,9.064575893782566738e-05,5.967180865595501018e+02,5.968099480639220928e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800002112993469083e+01,2.547420552393184767e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800001995796407428e+01,2.548137378818114751e+00,2.800004091142900364e+01,2.545558060252608001e+00,2.847590417525405141e-06,2.056837367544215710e-03,0.000000000000000000e+00,2.521479284131556651e-07,2.278171255019248159e-07,1.646037248364912934e-04,0.000000000000000000e+00,1.931158898188441950e-08
1.000000000000000000e+00,8.640707230887532952e-02,2.203349600625897631e-01,3.687816951382581233e-03,2.800000352150077987e+01,2.549964420446611868e+00,2.549999999999999822e+00,2.540799099640919323e+00,2.800000000000000000e+01,2.800025193636230014e+01,9.050858394993846121e-05,9.053308941143057946e-05,5.959073772764177193e+02,5.960687209263724071e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800012895616500685e+01,2.545156747359493377e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800012499182416903e+01,2.545642077112432400e+00,2.800025193636230014e+01,2.540799099640919323e+00,2.844057553310325855e-06,6.810020442622028401e-03,0.000000000000000000e+00,1.538305787145544062e-06,2.275309398351291348e-07,5.448653778121415525e-04,0.000000000000000000e+00,1.221015223891362304e-07
2.000000000000000000e+00,8.640707230887532952e-02,2.203318910626117511e-01,1.467715936075401559e-02,2.800001401744919605e+01,2.549928902520867791e+00,2.549999999999999822e+00,2.536667403604247806e+00,2.800000000000000000e+01,2.800071185950215025e+01,9.035253160562930011e-05,9.038440417408472440e-05,5.948807673130586409e+02,5.950906161976681688e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800036441049274316e+01,2.543094905043121301e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800035551686471180e+01,2.543572428698368082e+00,2.800071185950215025e+01,2.536667403604247806e+00,2.839298788182896771e-06,1.353600412788976554e-02,0.000000000000000000e+00,4.343178407583025803e-06,2.271500109427605634e-07,1.082706562851177461e-03,0.000000000000000000e+00,3.500929550239246102e-07
3.000000000000000000e+00,8.640707230887532952e-02,2.203288271103003015e-01,3.289603981340757932e-02,2.800003142125319755e+01,2.549893443012408945e+00,2.549999999999999822e+00,2.533534205822729035e+00,2.800000000000000000e+01,2.800130385774857444e+01,9.020628616834670626e-05,9.024197315183456615e-05,5.939187231765708930e+02,5.941536864875270112e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800066857151773903e+01,2.541518317190773146e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800065340409338077e+01,2.542016400142263599e+00,2.800130385774857444e+01,2.533534205822729035e+00,2.834694837814095175e-06,2.020764159417506173e-02,0.000000000000000000e+00,7.960109906250404502e-06,2.267822076037630816e-07,1.615931029925006838e-03,0.000000000000000000e+00,6.471058428006158928e-07
4.000000000000000000e+00,8.640707230887532952e-02,2.203257680726771472e-01,5.829105427993117039e-02,2.800005568350585961e+01,2.549858040382260604e+00,2.549999999999999822e+00,2.530885764419517514e+00,2.800000000000000000e+01,2.800200096788263693e+01,9.006611134553359752e-05,9.010355019621531670e-05,5.929966453325255316e+02,5.932431432941634739e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800102797445730118e+01,2.540192998082460907e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800100511136183812e+01,2.540694246892147845e+00,2.800200096788263693e+01,2.530885764419517514e+00,2.830191061496928075e-06,2.683551476490172311e-02,0.000000000000000000e+00,1.222583449260132487e-05,2.264224999649809065e-07,2.145396294495624436e-03,0.000000000000000000e+00,9.998955398956991897e-07
5.000000000000000000e+00,8.640707230887532952e-02,2.203227138556168863e-01,9.081758327220783300e-02,2.800008676292179999e+01,2.549822693541097696e+00,2.549999999999999822e+00,2.528552396698362070e+00,2.800000000000000000e+01,2.800278765078969911e+01,8.993056261718946460e-05,8.996869180863963404e-05,5.921050231946410349e+02,5.923560667234582979e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800143484658463677e+01,2.539028589263494506e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800140283511673189e+01,2.539526652227800163e+00,2.800278765078969911e+01,2.528552396698362070e+00,2.825763771327062807e-06,3.342573386288697629e-02,0.000000000000000000e+00,1.704548832421388355e-05,2.260691404407557010e-07,2.671598136613800856e-03,0.000000000000000000e+00,1.400752977129204281e-06
