time_s,Mdry,Mwater,enthalpy,meanT,meanC,maxC,minC,minT,maxT,js_min,js_max,drive_min,drive_max,condensation_area_fraction,pressure_law_sign_ok,max_r,max_z,sideT,sideC,coreT,coreC,end_centerT,end_centerC,cornerT,cornerC,side_water_kg_s,side_heat_W,side_latent_W,side_sensible_W,end_water_kg_s,end_heat_W,end_latent_W,end_sensible_W
0.000000000000000000e+00,8.640707230887534340e-02,2.203380343876320813e-01,0.000000000000000000e+00,2.799999999999999645e+01,2.549999999999999378e+00,2.549999999999999822e+00,2.549999999999999822e+00,2.800000000000000000e+01,2.800000000000000000e+01,4.588434134705946064e-05,4.588434134705946064e-05,6.042030017057868463e+02,6.042030017057868463e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,1.441499096907284082e-06,0.000000000000000000e+00,3.509894619066770804e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,8.640707230887534340e-02,2.203380329464391385e-01,-3.508674354462891151e-03,2.799999665082458478e+01,2.549999983320891062e+00,2.549999999999999822e+00,2.549994458767488759e+00,2.799893259772736798e+01,2.800000000000000000e+01,4.586695841963601061e-05,4.586695841963601061e-05,6.039741049266385744e+02,6.039741049266385744e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.799893259772736798e+01,2.549994458767488759e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.799893259772736798e+01,2.549994458767488759e+00,1.440952996136370198e-06,8.452472883692009479e-04,3.508568554067101886e+00,-6.438388240854267202e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000021e-02,8.640707230887534340e-02,2.203380199952265084e-01,-3.500885368946118209e-02,2.799996658220743129e+01,2.549999833434865693e+00,2.549999999999999822e+00,2.549945419744806152e+00,2.799209092720154146e+01,2.800000000000000000e+01,4.575533556308055539e-05,4.575533556308055539e-05,6.025042676545003815e+02,6.025042676545003815e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.799209092720154146e+01,2.549945419744806152e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.799209092720154146e+01,2.549945419744806152e+00,1.437446260675096783e-06,6.280886288466318822e-03,3.500053242442977552e+00,-4.759007776244194947e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000056e-01,8.640707230887534340e-02,2.203378912260528510e-01,-3.470387298789346375e-01,2.799966872172634780e+01,2.549998343172897197e+00,2.549999999999999822e+00,2.549523720119210246e+00,2.797039948322574077e+01,2.800000000000000000e+01,4.539645280817941061e-05,4.539645280817941061e-05,5.977785908275873226e+02,5.977785908275873226e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.797039948322574077e+01,2.549523720119210246e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.797039948322574077e+01,2.549523720119210246e+00,1.426171626412121750e-06,2.393934189390726705e-02,3.472673554377756489e+00,-1.767137361923470744e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
2.999999999999999889e-01,8.640707230887534340e-02,2.203376072944706054e-01,-1.031500579906755366e+00,2.799901531011408906e+01,2.549995057196707382e+00,2.549999999999999822e+00,2.548883633733380005e+00,2.794788912447912921e+01,2.800000000000000000e+01,4.501596402788742696e-05,4.501596402788742696e-05,5.927684972433935400e+02,5.927684972433935400e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.794788912447912921e+01,2.548883633733380005e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.794788912447912921e+01,2.548883633733380005e+00,1.414218218842735487e-06,4.300123707849386190e-02,3.443642623923540480e+00,-3.084920820642773572e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000000e+00,8.640707230887534340e-02,2.203366262957489607e-01,-3.375279163992837450e+00,2.799677768409765477e+01,2.549983703974159077e+00,2.549999999999999822e+00,2.547746808394605988e+00,2.790533337428617600e+01,2.800000000000000000e+01,4.427384753252459757e-05,4.427384753252459757e-05,5.829969095447486325e+02,5.829969095447486325e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.790533337428617600e+01,2.547746808394605988e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.790533337428617600e+01,2.547746808394605988e+00,1.390903941543338704e-06,8.126249780856921456e-02,3.387011758056023947e+00,-5.511797573597247962e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
2.000000000000000000e+00,8.640707230887534340e-02,2.203352466908457818e-01,-6.633818145607598638e+00,2.799366644370523360e+01,2.549967737631748665e+00,2.549999999999999822e+00,2.546766424895673175e+00,2.786787744634109742e+01,2.800000000000000000e+01,4.359318585724796837e-05,4.359318585724796837e-05,5.740347811298024681e+02,5.740347811298024681e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.786787744634109742e+01,2.546766424895673175e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.786787744634109742e+01,2.546766424895673175e+00,1.369520324357047053e-06,1.175918186628792661e-01,3.335061291632100300e+00,-7.574337713600652958e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
3.000000000000000000e+00,8.640707230887534340e-02,2.203338856625977615e-01,-9.815039796250117021e+00,2.799062879367632561e+01,2.549951986279322735e+00,2.549999999999999822e+00,2.546020267055447484e+00,2.784011665764800370e+01,2.800000000000000000e+01,4.307001590230038373e-05,4.307001590230038373e-05,5.671464803273302095e+02,5.671464803273302095e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.784011665764800370e+01,2.546020267055447484e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.784011665764800370e+01,2.546020267055447484e+00,1.353084455486624721e-06,1.463065949547951161e-01,3.295125284494341056e+00,-9.055810946432882444e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
4.000000000000000000e+00,8.640707230887534340e-02,2.203325396781598555e-01,-1.293300219845950494e+01,2.798765136714849078e+01,2.549936409030818307e+00,2.549999999999999822e+00,2.545401999357371992e+00,2.781738291415047115e+01,2.800000000000000000e+01,4.262847471134153772e-05,4.262847471134153772e-05,5.613330501744044341e+02,5.613330501744044341e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.781738291415047115e+01,2.545401999357371992e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.781738291415047115e+01,2.545401999357371992e+00,1.339213029868888689e-06,1.710731391828040349e-01,3.261416506393496118e+00,-1.023741475022923661e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
5.000000000000000000e+00,8.640707230887534340e-02,2.203312066925924850e-01,-1.599584412704119352e+01,2.798472642531709198e+01,2.549920982219890053e+00,2.549999999999999822e+00,2.544866083311707605e+00,2.779786899180466264e+01,2.800000000000000000e+01,4.223918839864744491e-05,4.223918839864744491e-05,5.562076984431864730e+02,5.562076984431864730e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.779786899180466264e+01,2.544866083311707605e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.779786899180466264e+01,2.544866083311707605e+00,1.326983239667860318e-06,1.933108417917806521e-01,3.231694152351633598e+00,-1.122787589946701173e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
