time_s,Mdry,Mwater,enthalpy,meanT,meanC,maxC,minC,minT,maxT,js_min,js_max,drive_min,drive_max,condensation_area_fraction,pressure_law_sign_ok,max_r,max_z,sideT,sideC,coreT,coreC,end_centerT,end_centerC,cornerT,cornerC,side_water_kg_s,side_heat_W,side_latent_W,side_sensible_W,end_water_kg_s,end_heat_W,end_latent_W,end_sensible_W
0.000000000000000000e+00,8.640707230887534340e-02,2.203380343876320813e-01,0.000000000000000000e+00,2.799999999999999645e+01,2.549999999999999378e+00,2.549999999999999822e+00,2.549999999999999822e+00,2.800000000000000000e+01,2.800000000000000000e+01,1.759916246686559838e-04,1.759916246686559838e-04,5.793625056944115386e+02,5.793625056944115386e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,5.528939951523819035e-06,0.000000000000000000e+00,1.346237165644573430e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,8.640707230887534340e-02,2.203380288627748429e-01,-1.345072335582106482e-02,2.799998716065893589e+01,2.549999936060126426e+00,2.549999999999999822e+00,2.549978754837100681e+00,2.799589683689719877e+01,2.800000000000000000e+01,1.757430908604797179e-04,1.757430908604797179e-04,5.785443359268938366e+02,5.785443359268938366e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.799589683689719877e+01,2.549978754837100681e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.799589683689719877e+01,2.549978754837100681e+00,5.521132031664466221e-06,3.229528268898011235e-03,1.344341370118602264e+01,-9.483008452635024587e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000021e-02,8.640707230887534340e-02,2.203379794189273544e-01,-1.337085022922700761e-01,2.799987236336808039e+01,2.549999363840212308e+00,2.549999999999999822e+00,2.549791542276035550e+00,2.796979264634666507e+01,2.800000000000000000e+01,1.741608859698445257e-04,1.741608859698445257e-04,5.733357419631138328e+02,5.733357419631138328e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.796979264634666507e+01,2.549791542276035550e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.796979264634666507e+01,2.549791542276035550e+00,5.471425599055533216e-06,2.379391511880672369e-02,1.332272063941263163e+01,-6.918507278132177184e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000056e-01,8.640707230887534340e-02,2.203374953031675409e-01,-1.306825532211702612e+00,2.799875235682697294e+01,2.549993761107161916e+00,2.549999999999999822e+00,2.548207058646817735e+00,2.788886535952711654e+01,2.800000000000000000e+01,1.692288850049840376e-04,1.692288850049840376e-04,5.570997189640347642e+02,5.570997189640347642e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.788886535952711654e+01,2.548207058646817735e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.788886535952711654e+01,2.548207058646817735e+00,5.316482219068497675e-06,8.797609290102710589e-02,1.294645500919986425e+01,-2.473278593225998467e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
2.999999999999999889e-01,8.640707230887534340e-02,2.203364492033718092e-01,-3.828920777530530728e+00,2.799634402482995910e+01,2.549981654461631830e+00,2.549999999999999822e+00,2.545861498374344389e+00,2.780760512776754467e+01,2.800000000000000000e+01,1.642443874827112765e-04,1.642443874827112765e-04,5.406909573705584080e+02,5.406909573705584080e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.780760512776754467e+01,2.545861498374344389e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.780760512776754467e+01,2.545861498374344389e+00,5.159889611090411491e-06,1.531800304498260323e-01,1.256611778533726209e+01,-4.155594162094685198e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000000e+00,8.640707230887534340e-02,2.203329480018193509e-01,-1.219843129415011163e+01,2.798834992834690993e+01,2.549941134612284888e+00,2.549999999999999822e+00,2.541897394818469547e+00,2.766116027673865574e+01,2.800000000000000000e+01,1.551963583319972086e-04,1.551963583319972086e-04,5.109054347133810552e+02,5.109054347133810552e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.766116027673865574e+01,2.541897394818469547e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.766116027673865574e+01,2.541897394818469547e+00,4.875637391996915600e-06,2.730356001734576266e-01,1.187555099344789689e+01,-6.915521588688191938e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
2.000000000000000000e+00,8.640707230887534340e-02,2.203282002368018022e-01,-2.342750878340382314e+01,2.797762133748074476e+01,2.549886188125953801e+00,2.549999999999999822e+00,2.538674664830564698e+00,2.753952518847836117e+01,2.800000000000000000e+01,1.475904300683176704e-04,1.475904300683176704e-04,4.858674501248560773e+02,4.858674501248560773e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.753952518847836117e+01,2.538674664830564698e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.753952518847836117e+01,2.538674664830564698e+00,4.636690108427849171e-06,3.754790789356776681e-01,1.129488057301798598e+01,-8.937440709750079509e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
3.000000000000000000e+00,8.640707230887534340e-02,2.203236528662205485e-01,-3.408141194379521721e+01,2.796743990164366522e+01,2.549833560829833701e+00,2.549999999999999822e+00,2.536327173016697856e+00,2.745346963046745969e+01,2.800000000000000000e+01,1.421403126174422592e-04,1.421403126174422592e-04,4.679263306778989318e+02,4.679263306778989318e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.745346963046745969e+01,2.536327173016697856e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.745346963046745969e+01,2.536327173016697856e+00,4.465469618979132361e-06,4.499784599854776412e-01,1.087869830684605077e+01,-1.021599478953343076e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
4.000000000000000000e+00,8.640707230887534340e-02,2.203192580340860296e-01,-4.429664715588584301e+01,2.795767595122194749e+01,2.549782698880492138e+00,2.549999999999999822e+00,2.534450205700170766e+00,2.738545997934188136e+01,2.800000000000000000e+01,1.377820404101460171e-04,1.377820404101460171e-04,4.535795235836985739e+02,4.535795235836985739e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.738545997934188136e+01,2.534450205700170766e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.738545997934188136e+01,2.534450205700170766e+00,4.328550459491267584e-06,5.103046189107062203e-01,1.054583330475265868e+01,-1.113504250809784976e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
5.000000000000000000e+00,8.640707230887534340e-02,2.203149886517717926e-01,-5.415049462053310236e+01,2.794825605736836494e+01,2.549733288777821905e+00,2.549999999999999822e+00,2.532871777322321272e+00,2.732878166735641301e+01,2.800000000000000000e+01,1.341083059290846884e-04,1.341083059290846884e-04,4.414861826826645483e+02,4.414861826826645483e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.732878166735641301e+01,2.532871777322321272e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.732878166735641301e+01,2.532871777322321272e+00,4.213136686921849503e-06,5.617311648864589113e-01,1.026520956744108126e+01,-1.183773416106915014e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
