time_s,Mdry,Mwater,enthalpy,meanT,meanC,maxC,minC,minT,maxT,js_min,js_max,drive_min,drive_max,condensation_area_fraction,pressure_law_sign_ok,max_r,max_z,sideT,sideC,coreT,coreC,end_centerT,end_centerC,cornerT,cornerC,side_water_kg_s,side_heat_W,side_latent_W,side_sensible_W,end_water_kg_s,end_heat_W,end_latent_W,end_sensible_W
0.000000000000000000e+00,8.640707230887532952e-02,2.203380343876321645e-01,0.000000000000000000e+00,2.800000000000001066e+01,2.550000000000000711e+00,2.549999999999999822e+00,2.549999999999999822e+00,2.800000000000000000e+01,2.800000000000000000e+01,9.069961583532442013e-05,9.069961583532442013e-05,5.971642888666715407e+02,5.971642888666715407e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.849412467916716864e-06,0.000000000000000000e+00,6.938011622830670966e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,8.640707230887532952e-02,2.203380315387681310e-01,-6.936244802125966606e-03,2.799999337906954722e+01,2.549999967029736414e+00,2.549999999999999822e+00,2.549996116305270455e+00,2.799922530483787853e+01,2.800000000000000000e+01,9.067476003632056122e-05,9.067476003632056122e-05,5.970006396688486348e+02,5.970006396688486348e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.799922530483787853e+01,2.549996116305270455e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.799922530483787853e+01,2.549996116305270455e+00,2.848631599961220706e-06,6.153556613608422233e-04,6.936115503997438481e+00,-9.237753204788332677e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,8.640707230887532952e-02,2.203380059317196493e-01,-6.925675847352207037e-02,2.799993389082686335e+01,2.549999670676118768e+00,2.549999999999999822e+00,2.549961273270546780e+00,2.799258397805440524e+01,2.800000000000000000e+01,9.046163899110601315e-05,9.046163899110601315e-05,5.955974629015759092e+02,5.955974629015759092e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.799258397805440524e+01,2.549961273270546780e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.799258397805440524e+01,2.549961273270546780e+00,2.841936204861506931e-06,5.893645054165563835e-03,6.919857489836085840e+00,-8.822355524789430594e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,8.640707230887532952e-02,2.203377523862592169e-01,-6.843058898040339511e-01,2.799934674613503560e+01,2.549996736362367677e+00,2.549999999999999822e+00,2.549622826192779357e+00,2.794889600983052702e+01,2.800000000000000000e+01,8.905610369538685407e-05,8.905610369538685407e-05,5.863435233207469537e+02,5.863435233207469537e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.794889600983052702e+01,2.549622826192779357e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.794889600983052702e+01,2.549622826192779357e+00,2.797780011267582092e-06,4.082813040517403042e-02,6.812629737597440283e+00,-5.985047450964091874e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,8.640707230887532952e-02,2.203371979425369498e-01,-2.021995511208284135e+00,2.799806961457591470e+01,2.549990319714893872e+00,2.549999999999999822e+00,2.548922809988603877e+00,2.790393863790921714e+01,2.800000000000000000e+01,8.759479959304830967e-05,8.759479959304830967e-05,5.767224899253610602e+02,5.767224899253610602e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.790393863790921714e+01,2.548922809988603877e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.790393863790921714e+01,2.548922809988603877e+00,2.751871788941907849e-06,7.751986851092702857e-02,6.701134730852427168e+00,-1.106563040115998492e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.640707230887532952e-02,2.203353042468944867e-01,-6.551762497137218588e+00,2.799374426074466271e+01,2.549968403735196176e+00,2.549999999999999822e+00,2.546892365044792328e+00,2.782238744841070854e+01,2.800000000000000000e+01,8.489758659985259233e-05,8.489758659985259233e-05,5.589646413626169306e+02,5.589646413626169306e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.782238744841070854e+01,2.546892365044792328e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.782238744841070854e+01,2.546892365044792328e+00,2.667136343696001958e-06,1.464080756524622495e-01,6.495307391755337001e+00,-1.982978907569432191e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,8.640707230887532952e-02,2.203326770492680942e-01,-1.276817618564136581e+01,2.798780736184282958e+01,2.549937998844066467e+00,2.549999999999999822e+00,2.544771211285699497e+00,2.775168616818904965e+01,2.800000000000000000e+01,8.250707538131142377e-05,8.250707538131161350e-05,5.432263096492242767e+02,5.432263096492256409e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.775168616818905321e+01,2.544771211285699497e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.775168616818905676e+01,2.544771211285699497e+00,2.592036218871078314e-06,2.088482351262965775e-01,6.312847883409737015e+00,-2.694270533702856126e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,8.640707230887532952e-02,2.203301139611135995e-01,-1.877439352611371248e+01,2.798207042214439610e+01,2.549908335899980560e+00,2.549999999999999822e+00,2.543215383147815256e+00,2.770024221584889190e+01,2.800000000000000000e+01,8.073197460084009141e-05,8.073197460084029469e-05,5.315397996207416327e+02,5.315397996207429969e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.770024221584889901e+01,2.543215383147815256e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.770024221584889546e+01,2.543215383147815256e+00,2.536269783157974549e-06,2.561637246500563792e-01,6.177337994319788805e+00,-3.182476030334167958e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,8.640707230887532952e-02,2.203276012532063843e-01,-2.461465372859080958e+01,2.797649139879344204e+01,2.549879256012882678e+00,2.549999999999999822e+00,2.542000992224848765e+00,2.765867216458952882e+01,2.800000000000000000e+01,7.927226565730819991e-05,7.927226565730859293e-05,5.219298013472371167e+02,5.219298013472398452e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.765867216458953237e+01,2.542000992224848765e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.765867216458953592e+01,2.542000992224848765e+00,2.490411674224183477e-06,2.957242703993982480e-01,6.065890422831362372e+00,-3.558296013819769402e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,8.640707230887532952e-02,2.203251310583203282e-01,-3.031431213692744819e+01,2.797104619256718294e+01,2.549850668134367115e+00,2.549999999999999822e+00,2.541000939226188304e+00,2.762337144818747703e+01,2.800000000000000000e+01,7.801255067726608659e-05,7.801255067726647961e-05,5.136365411707829480e+02,5.136365411707856765e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.762337144818748058e+01,2.541000939226188304e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.762337144818748769e+01,2.541000939226188304e+00,2.450836560955012241e-06,3.303608920660805470e-01,5.969701668490144719e+00,-3.863908333317422807e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
