time_s,Mdry,Mwater,enthalpy,meanT,meanC,maxC,minC,minT,maxT,js_min,js_max,drive_min,drive_max,condensation_area_fraction,pressure_law_sign_ok,max_r,max_z,sideT,sideC,coreT,coreC,end_centerT,end_centerC,cornerT,cornerC,side_water_kg_s,side_heat_W,side_latent_W,side_sensible_W,end_water_kg_s,end_heat_W,end_latent_W,end_sensible_W
0.000000000000000000e+00,8.640707230887534340e-02,2.203380343876320535e-01,0.000000000000000000e+00,2.800000000000000711e+01,2.549999999999999378e+00,2.549999999999999822e+00,2.549999999999999822e+00,2.800000000000000000e+01,2.800000000000000000e+01,9.474652680546997844e-05,9.474652680546997844e-05,6.238090622688150688e+02,6.238090622688150688e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.976549925652129344e-06,0.000000000000000000e+00,7.247577601570963424e+00,0.000000000000000000e+00,2.381239940521703210e-07,0.000000000000000000e+00,5.798062081256771805e-01,0.000000000000000000e+00
1.000000000000000021e-03,8.640707230887534340e-02,2.203380311738125374e-01,-7.824642183076690669e-03,2.799999253105267627e+01,2.549999962806058562e+00,2.549999999999999822e+00,2.549991929524447531e+00,2.799839837439266788e+01,2.800000000000000000e+01,9.469453152223223193e-05,9.473447939724885872e-05,6.234667273370228031e+02,6.237297432736381779e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.799876567225143376e+01,2.549993761174987661e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.799963243560911863e+01,2.549998167321261722e+00,2.799839837439266788e+01,2.549991929524447531e+00,2.975289402543278049e-06,9.767845644772447499e-04,7.244517038552094945e+00,-1.537989711158150010e-05,2.380931531078346386e-07,2.408209541253229677e-05,5.797313242639807740e-01,-3.732240774863905866e-07
1.000000000000000021e-02,8.640707230887534340e-02,2.203380023017463829e-01,-7.807816023242089565e-02,2.799992546993328801e+01,2.549999628665977180e+00,2.549999999999999822e+00,2.549919733758184925e+00,2.798520507086124098e+01,2.800000000000000000e+01,9.426623438632413291e-05,9.462720311231525671e-05,6.206468362053446981e+02,6.230234464435066002e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.798882728657151375e+01,2.549937968967929347e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.799635963563313723e+01,2.549981689724708733e+00,2.798520507086124098e+01,2.549919733758184925e+00,2.965137114653832726e-06,8.848465119903975440e-03,7.219866894535084789e+00,-1.387446444547298953e-04,2.378184984459953507e-07,2.385883648628078541e-04,5.790644418924503212e-01,-3.692357455321221089e-06
1.000000000000000056e-01,8.640707230887534340e-02,2.203377167322328190e-01,-7.704732037106458709e-01,2.799926448323100558e+01,2.549996323733800807e+00,2.549999999999999822e+00,2.549234722263281405e+00,2.790970651066923480e+01,2.800000000000000000e+01,9.181357716121526082e-05,9.366109869569997888e-05,6.044986709223949219e+02,6.166627140479063200e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.794194173958847571e+01,2.549410620053613741e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.796690610895399942e+01,2.549818520245088482e+00,2.790970651066923480e+01,2.549234722263281405e+00,2.917026595865400644e-06,4.633201155352539846e-02,7.103044939730826179e+00,-7.095769464264931221e-04,2.353415880574811431e-07,2.176774752286809479e-03,5.730501064368180852e-01,-3.325469097952087852e-05
2.999999999999999889e-01,8.640707230887534340e-02,2.203370918111971222e-01,-2.277928105683945770e+00,2.799782526183754428e+01,2.549989091443445322e+00,2.549999999999999822e+00,2.547896302346367214e+00,2.781822856012581369e+01,2.800000000000000000e+01,8.883787560614953363e-05,9.204253384228271401e-05,5.849068786878533501e+02,6.060062873957795091e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.789672759279391911e+01,2.548395120894149990e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.791770708777511345e+01,2.549465170763114852e+00,2.781822856012581369e+01,2.547896302346367214e+00,2.870084821266450466e-06,8.330524005068057347e-02,6.989047400734046178e+00,-1.242556054376979611e-03,2.311712302336056912e-07,5.458282535262860141e-03,5.629229310474010983e-01,-8.147172517266134707e-05
1.000000000000000000e+00,8.640707230887534340e-02,2.203349588572096618e-01,-7.378458205852196805e+00,2.799295483402003271e+01,2.549964406496594727e+00,2.549999999999999822e+00,2.544450555020797200e+00,2.765173623153469862e+01,2.800000000000000000e+01,8.340075825593504493e-05,8.896927704289910087e-05,5.491095423904553172e+02,5.857725999794424752e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.781156322734690178e+01,2.545934657579352223e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.782552000392021085e+01,2.548304225625169117e+00,2.765173623153469862e+01,2.544450555020797200e+00,2.780222083401276600e-06,1.552878785310212451e-01,6.770780475479504013e+00,-2.198432561090714419e-03,2.231200089285709110e-07,1.189366646295584966e-02,5.433680989165543540e-01,-1.683870119326989279e-04
2.000000000000000000e+00,8.640707230887534340e-02,2.203320010255906680e-01,-1.437487284667101939e+01,2.798627286366991385e+01,2.549930175136360333e+00,2.549999999999999822e+00,2.541149618334771709e+00,2.752063041437764568e+01,2.800000000000000000e+01,7.907985499201527634e-05,8.651042281169153887e-05,5.206615020151180033e+02,5.695843358039314808e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.773831497765700504e+01,2.543855907860661070e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.775358772094202564e+01,2.546799399791164653e+00,2.752063041437764568e+01,2.541149618334771709e+00,2.701215669176777526e-06,2.200609418615619151e-01,6.578842832241289074e+00,-2.968689725884122391e-03,2.165173474587132012e-07,1.729920170108322289e-02,5.273278450261431605e-01,-2.331249845916136699e-04
3.000000000000000000e+00,8.640707230887534340e-02,2.203291163690286325e-01,-2.113223002155368491e+01,2.797981825344109907e+01,2.549896790640335364e+00,2.549999999999999822e+00,2.538647666298522676e+00,2.742776669558710978e+01,2.800000000000000000e+01,7.599102120828408254e-05,8.467034789473552197e-05,5.003253343639444211e+02,5.574700727475824351e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.768495602526462562e+01,2.542427498081210935e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.770079742325495786e+01,2.545441153298890757e+00,2.742776669558710978e+01,2.538647666298522676e+00,2.642484817358949679e-06,2.691868593021929934e-01,6.436138291235028674e+00,-3.498349461976879050e-03,2.115052311176818388e-07,2.147578829879584483e-02,5.151494671221650279e-01,-2.784849803378739341e-04
4.000000000000000000e+00,8.640707230887534340e-02,2.203262893518403986e-01,-2.770043813675084365e+01,2.797354358823213616e+01,2.549864073212089188e+00,2.549999999999999822e+00,2.536545017624020737e+00,2.735440447564725375e+01,2.800000000000000000e+01,7.352833228256004672e-05,8.315099429420022548e-05,4.841116567493004368e+02,5.474674096159910732e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.764181391430256696e+01,2.541275404607282962e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.765793596151697642e+01,2.544207425042459558e+00,2.735440447564725375e+01,2.536545017624020737e+00,2.594155904491326333e-06,3.102687999563885635e-01,6.318692793608450486e+00,-3.906463511582311879e-03,2.073255835544664529e-07,2.500879980677651535e-02,5.049924118902564540e-01,-3.138296115520651801e-04
5.000000000000000000e+00,8.640707230887534340e-02,2.203235110337674330e-01,-3.410823001278607336e+01,2.796742157228414172e+01,2.549831919384876411e+00,2.549999999999999822e+00,2.534702866792032161e+00,2.729353216949236938e+01,2.800000000000000000e+01,7.146537854185898561e-05,8.184407868111461340e-05,4.705297997441080042e+02,5.388634152341282970e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.760516414276024477e+01,2.540279519769724104e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.762165943225663156e+01,2.543081563052816296e+00,2.729353216949236938e+01,2.534702866792032161e+00,2.552430769796476121e-06,3.462356679472481935e-01,6.217283892750337770e+00,-4.238534777031963477e-03,2.037009277377978102e-07,2.811221366845064254e-02,4.961830152892074963e-01,-3.426384573336999713e-04
