time_s,Mdry,Mwater,enthalpy,meanT,meanC,maxC,minC,minT,maxT,js_min,js_max,drive_min,drive_max,condensation_area_fraction,pressure_law_sign_ok,max_r,max_z,sideT,sideC,coreT,coreC,end_centerT,end_centerC,cornerT,cornerC,side_water_kg_s,side_heat_W,side_latent_W,side_sensible_W,end_water_kg_s,end_heat_W,end_latent_W,end_sensible_W
0.000000000000000000e+00,8.640707230887532952e-02,2.203380343876320535e-01,0.000000000000000000e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.549999999999999822e+00,2.549999999999999822e+00,2.800000000000000000e+01,2.800000000000000000e+01,8.371470754865896350e-05,8.371470754865896350e-05,5.511758053280127569e+02,5.511758053280127569e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.629975102322850330e-06,0.000000000000000000e+00,6.403705336845089136e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,8.640707230887532952e-02,2.203380317583752135e-01,-6.401377573578622728e-03,2.799999388961896685e+01,2.549999969571276726e+00,2.549999999999999822e+00,2.549994487604647642e+00,2.799890962759744539e+01,2.800000000000000000e+01,8.368064561408737677e-05,8.368064561408737677e-05,5.509515430699939316e+02,5.509515430699939316e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.799890962759744539e+01,2.549994487604647642e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.799890962759744539e+01,2.549994487604647642e+00,2.628905015088678866e-06,8.632879862233989706e-04,6.401106557771514716e+00,-1.199910820835494846e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000021e-02,8.640707230887532952e-02,2.203380081382600442e-01,-6.387348349350115140e-02,2.799993902918771838e+01,2.549999696212690292e+00,2.549999999999999822e+00,2.549945187597831175e+00,2.799012734958877857e+01,2.800000000000000000e+01,8.340617561670839815e-05,8.340617561670839815e-05,5.491444455535329325e+02,5.491444455535329325e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.799012734958877857e+01,2.549945187597831175e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.799012734958877857e+01,2.549945187597831175e+00,2.620282285814712432e-06,7.823076539218638478e-03,6.380165452490216715e+00,-1.082881823097604453e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000056e-01,8.640707230887532952e-02,2.203377745082725214e-01,-6.302411789017182686e-01,2.799939835798874910e+01,2.549996992383231742e+00,2.549999999999999822e+00,2.549479004006720118e+00,2.794867558911934324e+01,2.800000000000000000e+01,8.210319986448900965e-05,8.210319986448900965e-05,5.405657499806570740e+02,5.405657499806570740e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.794867558911934324e+01,2.549479004006720118e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.794867558911934324e+01,2.549479004006720118e+00,2.579348095304931964e-06,4.100124842691253019e-02,6.280746599967353738e+00,-5.541574207799453925e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
2.999999999999999889e-01,8.640707230887532952e-02,2.203372629995082321e-01,-1.863877097054352783e+00,2.799822058829687776e+01,2.549991072627468380e+00,2.549999999999999822e+00,2.548580812761869652e+00,2.790866684221944993e+01,2.800000000000000000e+01,8.082756664079831946e-05,8.082756664079831946e-05,5.321671572314294281e+02,5.321671572314294281e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.790866684221944993e+01,2.548580812761869652e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.790866684221944993e+01,2.548580812761869652e+00,2.539272895662714362e-06,7.380634552950228466e-02,6.183402822142174848e+00,-9.708163331468510314e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000000e+00,8.640707230887532952e-02,2.203355152602848865e-01,-6.042667338462905491e+00,2.799423049243273454e+01,2.549970845819909293e+00,2.549999999999999822e+00,2.546403009238355608e+00,2.783323489871886380e+01,2.800000000000000000e+01,7.837737570630704692e-05,7.837737570630704692e-05,5.160356549251428078e+02,5.160356549251428078e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.783323489871886380e+01,2.546403009238355608e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.783323489871886380e+01,2.546403009238355608e+00,2.462297877265813703e-06,1.378885081028920212e-01,5.996398889434398249e+00,-1.718877735555140399e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
2.000000000000000000e+00,8.640707230887532952e-02,2.203330890373830786e-01,-1.178081742497959183e+01,2.798875059804781529e+01,2.549942766834740748e+00,2.549999999999999822e+00,2.544561498696511936e+00,2.776829535768490231e+01,2.800000000000000000e+01,7.621653654981967361e-05,7.621653654981967361e-05,5.018094229235261992e+02,5.018094229235261992e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.776829535768490231e+01,2.544561498696511936e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.776829535768490231e+01,2.544561498696511936e+00,2.394413113069714545e-06,1.958034082007367727e-01,5.831447208561225892e+00,-2.322378709582413169e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
3.000000000000000000e+00,8.640707230887532952e-02,2.203307208712248777e-01,-1.732732947266859469e+01,2.798345303516982341e+01,2.549915359747624954e+00,2.549999999999999822e+00,2.543295187923498624e+00,2.772096378362983415e+01,2.800000000000000000e+01,7.460625040298484302e-05,7.460625040298484302e-05,4.912079951683085710e+02,4.912079951683085710e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.772096378362983415e+01,2.543295187923498624e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.772096378362983415e+01,2.543295187923498624e+00,2.343824481778977326e-06,2.398890433721930227e-01,5.708503602219638928e+00,-2.737693877158517072e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
4.000000000000000000e+00,8.640707230887532952e-02,2.203283984711883747e-01,-2.272202667084292216e+01,2.797829995167729322e+01,2.549888482317636207e+00,2.549999999999999822e+00,2.542273380165243513e+00,2.768268621778181071e+01,2.800000000000000000e+01,7.327830453760560830e-05,7.327830453760560830e-05,4.824654702782409004e+02,4.824654702782409004e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.768268621778181071e+01,2.542273380165243513e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.768268621778181071e+01,2.542273380165243513e+00,2.302105832028574160e-06,2.768636771264537111e-01,5.607103760233988154e+00,-3.057830757514876010e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
5.000000000000000000e+00,8.640707230887532952e-02,2.203261147931912800e-01,-2.798774588775298966e+01,2.797326964229876367e+01,2.549862053022717845e+00,2.549999999999999822e+00,2.541389917916541563e+00,2.765016800982293077e+01,2.800000000000000000e+01,7.212962704087722921e-05,7.212962704087722921e-05,4.749032281034137668e+02,4.749032281034137668e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.765016800982293077e+01,2.541389917916541563e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.765016800982293077e+01,2.541389917916541563e+00,2.266019064177915992e-06,3.093149217722324651e-01,5.519383317203494954e+00,-3.318350864376262265e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
