time_s,Mdry,Mwater,enthalpy,meanT,meanC,maxC,minC,minT,maxT,js_min,js_max,drive_min,drive_max,condensation_area_fraction,pressure_law_sign_ok,max_r,max_z,sideT,sideC,coreT,coreC,end_centerT,end_centerC,cornerT,cornerC,side_water_kg_s,side_heat_W,side_latent_W,side_sensible_W,end_water_kg_s,end_heat_W,end_latent_W,end_sensible_W
0.000000000000000000e+00,8.640707230887534340e-02,2.203380343876320535e-01,0.000000000000000000e+00,2.800000000000000711e+01,2.549999999999999378e+00,2.549999999999999822e+00,2.549999999999999822e+00,2.800000000000000000e+01,2.800000000000000000e+01,7.213208222985705834e-05,7.213208222985705834e-05,4.749160533102140107e+02,4.749160533102140107e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.266096196214538160e-06,0.000000000000000000e+00,5.517699499393208917e+00,0.000000000000000000e+00,1.812876956971630475e-07,0.000000000000000000e+00,4.414159599514567156e-01,0.000000000000000000e+00
1.000000000000000021e-03,8.640707230887534340e-02,2.203380319408689558e-01,-5.957082856283267211e-03,2.799999431371868397e+01,2.549999971683299727e+00,2.549999999999999822e+00,2.549993855812008992e+00,2.799878112456563883e+01,2.800000000000000000e+01,7.209551412584777727e-05,7.212357731249852035e-05,4.746752903800929744e+02,4.748600577880788478e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.799906074797677746e+01,2.549995250316374307e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.799972017919532519e+01,2.549998604749234676e+00,2.799878112456563883e+01,2.549993855812008992e+00,2.265209493426497136e-06,7.449289753693269251e-04,5.515545499389317818e+00,-8.910136072571238195e-06,1.812659251627876582e-07,1.846531846555210667e-05,4.413630730579710670e-01,-2.163147870341373435e-07
1.000000000000000021e-02,8.640707230887534340e-02,2.203380099566779882e-01,-5.945050120275541944e-02,2.799994325134494133e+01,2.549999717257471321e+00,2.549999999999999822e+00,2.549938880526293250e+00,2.798873466198531901e+01,2.800000000000000000e+01,7.179400734546040536e-05,7.204783273779642651e-05,4.726901823069724742e+02,4.743613631675157194e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.799149315892103118e+01,2.549952768199189812e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.799722847121910974e+01,2.549986059472428401e+00,2.798873466198531901e+01,2.549938880526293250e+00,2.258060214758003769e-06,6.753663480698412526e-03,5.498178127100220358e+00,-8.044826720948968261e-05,1.810720146592880874e-07,1.829654852837328430e-04,4.408920071325646561e-01,-2.140364707585740923e-06
1.000000000000000056e-01,8.640707230887534340e-02,2.203377923403168070e-01,-5.870808690335241886e-01,2.799943956762971098e+01,2.549997198755740158e+00,2.549999999999999822e+00,2.549416604092634486e+00,2.793116823575463314e+01,2.800000000000000000e+01,7.006054003169049824e-05,7.136476918227665882e-05,4.612771296220944350e+02,4.698641470598677188e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.795575583806112974e+01,2.549550889949466548e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.797479462667956085e+01,2.549861777262145690e+00,2.793116823575463314e+01,2.549416604092634486e+00,2.224017065255198083e-06,3.547247699984765884e-02,5.415473894127734944e+00,-4.122776939161379396e-04,1.793208753566376022e-07,1.671123486082233761e-03,4.366378502804738604e-01,-1.929964359884074862e-05
2.999999999999999889e-01,8.640707230887534340e-02,2.203373156330679095e-01,-1.736961000915746567e+00,2.799834178925848249e+01,2.549991681762325602e+00,2.549999999999999822e+00,2.548394088046597172e+00,2.786124878160391205e+01,2.800000000000000000e+01,6.794253994731515192e-05,7.021591651262889687e-05,4.473323872228897926e+02,4.623002551714093897e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.792123430303451670e+01,2.548776209647819257e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.793727808299303916e+01,2.549592369869442265e+00,2.786124878160391205e+01,2.548394088046597172e+00,2.190479861288814660e-06,6.402897519727741849e-02,5.333989845459674584e+00,-7.232951394974883146e-04,1.763609627056035860e-07,4.199871409371334560e-03,4.294466191780466624e-01,-4.737745982071477248e-05
1.000000000000000000e+00,8.640707230887534340e-02,2.203356861536062972e-01,-5.632896364200230543e+00,2.799462193208724869e+01,2.549972823589978344e+00,2.549999999999999822e+00,2.545753585854112711e+00,2.773352080633494054e+01,2.800000000000000000e+01,6.403112370912678855e-05,6.801117095265811323e-05,4.215801123866062881e+02,4.477846933315572642e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.785609585548337108e+01,2.546896685845431385e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.786680397413493182e+01,2.548705659937833712e+00,2.773352080633494054e+01,2.545753585854112711e+00,2.125615920666686260e-06,1.202237390604373179e-01,5.176369185887812030e+00,-1.283610188078202017e-03,1.705866943382125722e-07,9.211570183279962909e-03,4.154156211060449078e-01,-9.830053386839289768e-05
2.000000000000000000e+00,8.640707230887534340e-02,2.203334230885992673e-01,-1.098371091626312790e+01,2.798951225310461766e+01,2.549946632851806338e+00,2.549999999999999822e+00,2.543216030404789940e+00,2.763257608118246367e+01,2.800000000000000000e+01,6.088440594127909444e-05,6.622087189130489507e-05,4.008627260366802147e+02,4.359980000868608840e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.779997822533783847e+01,2.545306337127721363e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.781169533149881801e+01,2.547554460909115193e+00,2.763257608118246367e+01,2.543216030404789940e+00,2.067991528323202906e-06,1.714663373031864169e-01,5.036315885036810158e+00,-1.737263853150111063e-03,1.657841241323242784e-07,1.348374596903637555e-02,4.037434035969432733e-01,-1.364590259658891771e-04
3.000000000000000000e+00,8.640707230887534340e-02,2.203312136027181789e-01,-1.615570708781769582e+01,2.798457277377995922e+01,2.549921062191650822e+00,2.549999999999999822e+00,2.541288089322606414e+00,2.756094001869554333e+01,2.800000000000000000e+01,5.861568603503651185e-05,6.486811622447840871e-05,3.859260245242599012e+02,4.270920619768344295e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.775906650939332820e+01,2.544212164279313626e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.777122704508984796e+01,2.546514343737775743e+00,2.756094001869554333e+01,2.541288089322606414e+00,2.024805367673687403e-06,2.107467805246223402e-01,4.931338703745609564e+00,-2.050115998890440772e-03,1.621052584663912342e-07,1.681651716851033027e-02,3.948008928974530152e-01,-1.632839627971521866e-04
4.000000000000000000e+00,8.640707230887534340e-02,2.203290466343308107e-01,-2.118504840133215339e+01,2.797976910652852212e+01,2.549895983591838444e+00,2.549999999999999822e+00,2.539665360329661947e+00,2.750429273506328798e+01,2.800000000000000000e+01,5.679491296220529794e-05,6.374295375798343924e-05,3.739385697394241106e+02,4.196845758895419749e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.772598289776047409e+01,2.543328997049378426e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.773836539656551636e+01,2.545568992854168044e+00,2.750429273506328798e+01,2.539665360329661947e+00,1.989033394052819010e-06,2.438642669366133664e-01,4.844373964243097852e+00,-2.291512018524585401e-03,1.590165236070148497e-07,1.965654864744402139e-02,3.872919695485244618e-01,-1.842271719907637227e-04
5.000000000000000000e+00,8.640707230887534340e-02,2.203269158097770908e-01,-2.609258587932340490e+01,2.797508142553881427e+01,2.549871323289194525e+00,2.549999999999999822e+00,2.538242323191026273e+00,2.745727235465778904e+01,2.800000000000000000e+01,5.526126555262374592e-05,6.276908740664106966e-05,3.638415236106548036e+02,4.132732062738341483e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.769788415625186673e+01,2.542565319337656948e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.771055824695934788e+01,2.544705971370559983e+00,2.745727235465778904e+01,2.538242323191026273e+00,1.957976010706254105e-06,2.730545593230460644e-01,4.768863425611567841e+00,-2.488021084654989598e-03,1.563226309696433196e-07,2.216702468017169719e-02,3.807422702937428016e-01,-2.013157977171043474e-04
