question,time_s,contrast,metric,value
1,1800,B_to_F00,coreT,-1.2889046055406723
1,1800,B_to_F00,sideT,-0.78237018236956146
1,1800,B_to_F00,end_centerT,-1.2889046055406723
1,1800,B_to_F00,cornerT,-0.78237018236956146
1,1800,B_to_F00,coreC,6.0538057486958508e-06
1,1800,B_to_F00,sideC,0.80249331027893867
1,1800,B_to_F00,end_centerC,6.0538057486958508e-06
1,1800,B_to_F00,cornerC,0.80249331027893867
1,1800,B_to_F00,meanT,-1.045231483952044
1,1800,B_to_F00,meanC,0.20466985590333575
1,1800,B_to_F00,maxC,6.0538057486958508e-06
1,1800,B_to_F00,minT,-1.2889046055406723
1,1800,B_to_F00,max_r,0
1,1800,B_to_F00,max_z,0
1,1800,B_to_F00,loss_g,-14.852147574312829
1,1800,B_to_F00,side_loss_g,-14.85214766992388
1,1800,B_to_F00,end_loss_g,0
1,1800,B_to_F00,convective_kJ,0.53065615773388508
1,1800,B_to_F00,latent_kJ,0
1,1800,B_to_F00,sensible_out_kJ,0.059698577245323528
1,1800,B_to_F00,stored_kJ,
1,1800,B_to_F00,side_convective_kJ,0.53065615773388508
1,1800,B_to_F00,end_convective_kJ,0
1,1800,B_to_F00,end_latent_kJ,0
1,1800,B_to_F00,physical_phase_kJ,
1,1800,B_to_F00,dry_mass_g,0
1,1800,G0,coreT,-3.4044468577576481e-08
1,1800,G0,sideT,4.5935105674743681e-07
1,1800,G0,end_centerT,4.137123066938905
1,1800,G0,cornerT,2.4312573778485529
1,1800,G0,coreC,7.0832228971084987e-13
1,1800,G0,sideC,-2.8634087989587442e-08
1,1800,G0,end_centerC,-0.24892071991866294
1,1800,G0,cornerC,-0.61240892314991413
1,1800,G0,meanT,0.26507621022298622
1,1800,G0,meanC,-0.008580414958824889
1,1800,G0,maxC,7.0876637892069994e-13
1,1800,G0,minT,-3.4044468577576481e-08
1,1800,G0,max_r,0
1,1800,G0,max_z,0.0058133573757977869
1,1800,G0,loss_g,0.62264952821136665
1,1800,G0,side_loss_g,0.20039275570642268
1,1800,G0,end_loss_g,0.42225663850453538
1,1800,G0,convective_kJ,0.2222233946550487
1,1800,G0,latent_kJ,0
1,1800,G0,sensible_out_kJ,0.01586022561566576
1,1800,G0,stored_kJ,0.20636332564935067
1,1800,G0,side_convective_kJ,-0.12673508742159623
1,1800,G0,end_convective_kJ,0.34895848207664509
1,1800,G0,end_latent_kJ,0
1,1800,G0,physical_phase_kJ,1.50713849778999
1,1800,G0,dry_mass_g,0
1,1800,G1,coreT,4.6370651318738965e-08
1,1800,G1,sideT,-1.1445620629046971e-07
1,1800,G1,end_centerT,3.1675960873770705
1,1800,G1,cornerT,0.66637888494241082
1,1800,G1,coreC,2.1613821843402548e-12
1,1800,G1,sideC,6.1792103878133275e-08
1,1800,G1,end_centerC,-0.062636471763639623
1,1800,G1,cornerC,-0.17102227024344785
1,1800,G1,meanT,0.12878066009329103
1,1800,G1,meanC,-0.0023202587078299253
1,1800,G1,maxC,1.5729062496916413e-10
1,1800,G1,minT,-2.3981503900927237e-05
1,1800,G1,max_r,0
1,1800,G1,max_z,0.09894363500227471
1,1800,G1,loss_g,0.16837274149225645
1,1800,G1,side_loss_g,0.044218828866357418
1,1800,G1,end_loss_g,0.12415555493915917
1,1800,G1,convective_kJ,0.51949774777038193
1,1800,G1,latent_kJ,0.40863262666976752
1,1800,G1,sensible_out_kJ,0.0023772321715410001
1,1800,G1,stored_kJ,0.10848790023505828
1,1800,G1,side_convective_kJ,-0.028219674484940782
1,1800,G1,end_convective_kJ,0.54771742225532294
1,1800,G1,end_latent_kJ,0.30151434731580101
1,1800,G1,physical_phase_kJ,0.40863262666976929
1,1800,G1,dry_mass_g,0
1,1800,L1,coreT,-1.1673439083019801
1,1800,L1,sideT,-1.7188969092772766
1,1800,L1,end_centerT,-1.1673439083019801
1,1800,L1,cornerT,-1.7188969092772766
1,1800,L1,coreC,6.7308017026590505e-07
1,1800,L1,sideC,0.16761460776018788
1,1800,L1,end_centerC,6.7308017026590505e-07
1,1800,L1,cornerC,0.16761460776018788
1,1800,L1,meanT,-1.4254452196235974
1,1800,L1,meanC,0.035050422100002088
1,1800,L1,maxC,6.7308017026590505e-07
1,1800,L1,minT,-1.1673439083019801
