time_h,radius_cm,T_degC,C_kgkg,H,M,D_m2_s,D_over_D0
0,0,28,2.5499999999999998,0,0,5.6416803730256642e-09,1
0.5,0,32.189244636101499,2.5499341002122349,0.17540055264375548,-4.5606568069567199e-06,6.7232922424879623e-09,1.1917180339804014
1,0,40.381566713340995,2.5257376140888965,0.5048614280476853,-0.0016951869781883706,9.3310560835137451e-09,1.6539497927121043
1.5,0,45.846755031560939,2.3860642628448328,0.71523845966057142,-0.012124499921920251,1.1396381803368062e-08,2.0200332258908387
2,0,48.45023538918516,2.1708515431887041,0.81294247487596527,-0.030821338940438644,1.2333302149455182e-08,2.1861043756438057
2.5,0,49.466980611155329,1.9566417571381483,0.85067095319867891,-0.053515303846547943,1.2520128246710459e-08,2.2192197038620685
3,0,49.849495583627139,1.7661771010384424,0.86480348925538253,-0.078316997752214026,1.2387259083577044e-08,2.1956683584564165
0,1,28,2.5499999999999998,0,0,5.6416803730256642e-09,1
0.5,1,32.965940104373097,2.5255580401525295,0.20739266593244129,-0.0017078550416707084,6.9300482142830405e-09,1.2283659753958052
1,1,41.060483786936942,2.357819164907577,0.5313937657326272,-0.014383743045722203,9.4611314764515957e-09,1.6770059363319689
1.5,1,46.192953450181115,2.1344088084659107,0.72832251000295112,-0.034360625642348111,1.1292557088574258e-08,2.0016300715238851
2,1,48.598444657827521,1.9236284209070933,0.81845693854202872,-0.05746232474786974,1.2075475448844688e-08,2.1404040375241151
2.5,1,49.513649718543626,1.7359800615321974,0.85239700155982234,-0.082748978839009987,1.2180422897597995e-08,2.1590061989040983
3,1,49.874612222476365,1.5701979976710987,0.86573028662500517,-0.11011747305852698,1.2010662214700143e-08,2.128915752144739
0,2,28,2.5499999999999998,0,0,5.6416803730256642e-09,1
0.5,2,35.413020093090161,1.648617769693429,0.30713489590236459,-0.096485343862708406,6.964539659517691e-09,1.2344796583686235
1,2,42.997608937468222,1.4710935952196156,0.60647092581764317,-0.12942429259505894,9.0904880065497674e-09,1.6113085828140399
1.5,2,47.140049911958776,1.3475672881780625,0.76397206876888313,-0.15746449904959306,1.0346926606002294e-08,1.8340150313147181
2,2,49.003324333354335,1.2310926250596064,0.83349554630949219,-0.1890583661585413,1.0746919332318847e-08,1.9049146037593079
2.5,2,49.660910500950081,1.1166476335158115,0.85784014258400554,-0.22652135523317166,1.060685772334812e-08,1.8800883818342946
3,2,49.966412934359141,1.0081231241945781,0.86911648304199696,-0.26990345993418857,1.0271725081560238e-08,1.8206853991005971
