time_s,radius_cm,temperature_degC,C_kgkg_dry,D_m2_s,H_log,M_log,D_over_D0,T_rate_K_s,C_rate_kgkg_s,H_rate_s-1,M_rate_s-1,lnD_rate_s-1,lnD_rate_step_error_s-1,net_sign_certified,rate_interpretable
0,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,0,0,0,0,0,7.5409351668578506e-18,0,0
1,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,0,0,0,0,0,7.5409351668578506e-18,0,0
2,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,0,0,0,0,0,1.2065496266972561e-16,0,0
3,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,0,0,0,0,0,4.0218320889908537e-17,0,0
4,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,0,0,0,0,0,3.2677385723050681e-17,0,0
5,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,0,0,0,0,0,4.7759256056766386e-17,0,0
6,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,0,0,0,0,0,4.0218320889908537e-17,0,0
7,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,0,0,0,0,0,2.7147366600688262e-16,0,0
8,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,0,0,0,0,0,1.1311402750286775e-16,0,0
9,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,0,0,0,0,0,8.7977576946674922e-17,0,0
10,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,0,0,0,0,0,2.5136450556192835e-18,0,1
11,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,0,0,0,0,0,2.5136450556192835e-18,0,1
12,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,0,0,0,0,0,6.0327481334862805e-17,0,1
13,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,0,0,0,0,0,2.0109160444954268e-17,0,1
14,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,0,0,0,0,0,1.7595515389334983e-17,0,1
15,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,8.8817841970012523e-16,0,3.7704675834289252e-17,0,3.7704675834289252e-17,1.9480749181049449e-16,0,1
16,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,-7.4014868308343775e-15,0,-3.1420563195241046e-16,0,-3.1420563195241046e-16,3.5819442042574794e-16,0,1
17,0,27.999999999999989,2.5499999999999998,5.6416803730256642e-09,0,0,1,2.0724163126336253e-15,0,8.797757694667491e-17,0,8.797757694667491e-17,8.797757694667491e-17,0,1
18,0,28.000000000000004,2.5499999999999998,5.6416803730256642e-09,0,0,1,9.1778436702346263e-15,0,3.8961498362098887e-16,0,3.8961498362098887e-16,3.9715591878784671e-16,0,1
19,0,28.000000000000004,2.5499999999999998,5.6416803730256642e-09,0,0,1,-1.1842378929335002e-15,0,-5.0272901112385665e-17,0,-5.0272901112385665e-17,2.5136450556192834e-16,0,1
20,0,28.000000000000004,2.5499999999999998,5.6416803730256642e-09,0,0,1,2.9605947323337506e-16,0,1.2568225278096416e-17,0,1.2568225278096416e-17,6.9125239029530294e-17,0,1
21,0,28.000000000000004,2.5499999999999998,5.6416803730256642e-09,0,0,1,-2.0724163126336253e-15,0,-8.797757694667491e-17,0,-8.797757694667491e-17,2.5136450556192826e-17,0,1
22,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,-2.3684757858670005e-15,0,-1.0054580222477133e-16,0,-1.0054580222477133e-16,1.0682991486381954e-16,0,1
23,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,2.9605947323337509e-15,0,1.2568225278096417e-16,0,1.2568225278096417e-16,4.1726507923280099e-16,0,1
24,0,28.000000000000004,2.5499999999999998,5.6416803730256642e-09,0,0,1,-2.3684757858670005e-15,0,-1.0054580222477133e-16,0,-1.0054580222477133e-16,4.9016078584576028e-16,0,1
25,0,27.999999999999996,2.5499999999999998,5.6416803730256642e-09,0,0,1,-2.3684757858670009e-15,0,-1.0054580222477135e-16,0,-1.0054580222477135e-16,9.9288979696961695e-16,0,1
26,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,1.7763568394002505e-15,0,7.5409351668578503e-17,0,7.5409351668578503e-17,1.9380203378824672e-15,0,1
27,0,28,2.5499999999999998,5.6416803730256642e-09,0,0,1,5.3290705182007514e-15,0,2.262280550057355e-16,0,2.262280550057355e-16,3.4085026954197485e-15,0,1
28,0,28.000000000000011,2.5499999999999998,5.6416803730256642e-09,0,0,1,8.5857247237678767e-15,0,3.6447853306479608e-16,0,3.6447853306479608e-16,5.4571234157494636e-15,0,1
29,0,28.000000000000018,2.5499999999999998,5.6416803730256642e-09,0,0,1,1.0362081563168129e-14,0,4.3988788473337465e-16,0,4.3988788473337465e-16,8.3704380352122122e-15,0,1
30,0,28.000000000000039,2.5499999999999998,5.641680373025675e-09,3.3393426912553537e-15,0,1.000000000000002,3.9671969413272265e-14,0,1.6841421872649192e-15,0,1.6841421872649192e-15,1.3503301238786784e-14,0,1
31,0,28.000000000000103,2.5499999999999998,5.6416803730256849e-09,5.0090140368830305e-15,0,1.0000000000000038,8.0824236192711396e-14,0,3.4311255009203193e-15,0,3.4311255009203193e-15,2.0272547373569503e-14,0,1
32,0,28.000000000000217,2.5499999999999998,5.6416803730257147e-09,1.0018028073766061e-14,0,1.0000000000000089,1.6816178079655705e-13,0,7.1387519579587537e-15,0,7.1387519579587537e-15,2.9829425875033994e-14,0,1
33,0,28.000000000000469,2.5499999999999998,5.6416803730257751e-09,2.0036056147532122e-14,0,1.0000000000000195,3.4402110789718187e-13,0,1.4604277773147994e-14,0,1.4604277773147994e-14,4.3312617953375735e-14,0,1
34,0,28.000000000000949,2.5499999999999998,5.641680373025895e-09,4.1741783640691921e-14,0,1.0000000000000409,6.3948846218409017e-13,0,2.7147366600688083e-14,0,2.7147366600688083e-14,6.0196771791970197e-14,0,1
35,0,28.00000000000183,2.5499999999999998,5.6416803730260952e-09,7.6804881898873134e-14,0,1.0000000000000764,1.173875811370332e-12,0,4.9833013227651677e-14,0,4.9833013227651677e-14,8.2533021756202526e-14,0,1
36,0,28.000000000003428,2.5499999999999998,5.6416803730264765e-09,1.4526140706960788e-13,0,1.0000000000001439,2.0937325947064287e-12,0,8.8882489166695835e-14,0,8.8882489166695835e-14,1.1121119819576142e-13,0,1
37,0,28.000000000006221,2.5499999999999998,5.6416803730271474e-09,2.6380807260917294e-13,0,1.0000000000002629,3.6045240866163417e-12,0,1.5301814276081755e-13,0,1.5301814276081755e-13,1.4650277477665264e-13,0,1
38,0,28.000000000010953,2.5499999999999998,5.6416803730282905e-09,4.6583830543012184e-13,0,1.0000000000004656,6.0390211350143838e-12,0,2.5636665922259196e-13,0,2.5636665922259196e-13,1.8966457402668346e-13,0,1
39,0,28.000000000018773,2.5499999999999998,5.6416803730301542e-09,7.9643323186440185e-13,0,1.0000000000007958,9.8629252912966568e-12,0,4.1869785691445181e-13,0,4.1869785691445181e-13,2.4175232686920996e-13,0,1
40,0,28.000000000031374,2.5499999999999998,5.6416803730331808e-09,1.3323977338108861e-12,0,1.0000000000013323,1.5733784645514483e-11,0,6.6792576417901674e-13,0,6.6792576417901674e-13,3.0339695821318425e-13,0,1
41,0,28.000000000051234,2.5499999999999998,5.6416803730379313e-09,2.1739120920072352e-12,0,1.0000000000021743,2.4530007654751291e-11,0,1.0413403054163244e-12,0,1.0413403054163244e-12,3.7479955966304154e-13,0,1
42,0,28.000000000081837,2.5499999999999998,5.6416803730452676e-09,3.4745860702511955e-12,0,1.0000000000034748,3.7472247527148284e-11,0,1.5907602734477987e-12,0,1.5907602734477987e-12,4.5710132607400709e-13,0,1
43,0,28.000000000128114,2.5499999999999998,5.641680373056351e-09,5.4397892440549711e-12,0,1.0000000000054392,5.6139093373985822e-11,0,2.3831994454558929e-12,0,2.3831994454558929e-12,5.4978696020963754e-13,0,1
44,0,28.000000000196753,2.5499999999999998,5.6416803730727771e-09,8.3516960708296395e-12,0,1.0000000000083509,8.262190931418445e-11,0,3.5074397648043403e-12,0,3.5074397648043403e-12,6.5346225052826913e-13,0,1
45,0,28.000000000296893,2.5499999999999998,5.6416803730967687e-09,1.2604348988143332e-11,0,1.0000000000126035,1.1959766510472036e-10,0,5.0771231244562074e-12,0,5.0771231244562074e-12,7.6888129054647811e-13,0,1
46,0,28.000000000440604,2.5499999999999998,5.6416803731311827e-09,1.8703658413721236e-11,0,1.0000000000187035,1.7039347710579023e-10,0,7.2334912400838893e-12,0,7.2334912400838893e-12,8.9385469542065801e-13,0,1
47,0,28.000000000643752,2.5499999999999998,5.6416803731798375e-09,2.7329180585233814e-11,0,1.0000000000273275,2.3924121942779186e-10,0,1.015619432380712e-11,0,1.015619432380712e-11,1.0288977623869623e-12,0,1
48,0,28.000000000926899,2.5499999999999998,5.6416803732476539e-09,3.9347474931061832e-11,0,1.0000000000393481,3.3134620972911455e-10,0,1.4066206912455583e-11,0,1.4066206912455583e-11,1.1744051337187632e-12,0,1
49,0,28.000000001316362,2.5499999999999998,5.6416803733409359e-09,5.5882230266812716e-11,0,1.0000000000558826,4.5298165218810022e-10,0,1.922983713142941e-11,0,1.922983713142941e-11,1.3273855717993772e-12,0,1
50,0,28.000000001845333,2.5499999999999998,5.6416803734676086e-09,7.8335970522813714e-11,0,1.0000000000783356,6.1177729548944616e-10,0,2.5970980714340154e-11,0,2.5970980714340154e-11,1.4874695708049245e-12,0,1
51,0,28.000000002555439,2.5499999999999998,5.6416803736376861e-09,1.0848355633946705e-10,0,1.0000000001084821,8.1686805467976841e-10,0,3.4677430252092035e-11,0,3.4677430252092035e-11,3.173436664344603e-12,0,1
52,0,28.000000003498183,2.5499999999999998,5.6416803738634733e-09,1.4850557849416246e-10,0,1.0000000001485034,1.0789893423179819e-09,0,4.5804922161408791e-11,0,4.5804922161408791e-11,3.7765204406351183e-12,0,1
53,0,28.000000004736748,2.5499999999999998,5.6416803741601135e-09,2.01083529167978e-10,0,1.0000000002010836,1.410758621034347e-09,0,5.9889089067053532e-11,0,5.9889089067053532e-11,4.4430762682069335e-12,0,1
54,0,28.000000006347936,2.5499999999999998,5.6416803745459866e-09,2.6947994617027016e-10,0,1.0000000002694804,1.8268524470954615e-09,0,7.7552975600515843e-11,0,7.7552975600515843e-11,5.1738381314080953e-12,0,1
