parameter,location,time_s,C_base,C_minus20,C_plus20,C_secant_elasticity,T_base,T_minus20,T_plus20,T_rise_secant_elasticity_blank_if_rise_lt_0.05K
hm,axis,0,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,1,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,2,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,3,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,4,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,5,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,6,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,7,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,8,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,9,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,10,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,11,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,12,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,13,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,14,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,15,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,16,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,17,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,18,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,19,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,20,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,21,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,22,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,23,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,24,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,25,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,26,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,27,2.55,2.55,2.55,0.0,28.0,28.0,28.0,
hm,axis,28,2.55,2.55,2.55,0.0,28.00000000000001,28.000000000000007,28.000000000000004,
hm,axis,29,2.55,2.55,2.55,0.0,28.000000000000018,28.000000000000025,28.000000000000018,
hm,axis,30,2.55,2.55,2.55,0.0,28.00000000000005,28.000000000000036,28.000000000000053,
hm,axis,31,2.55,2.55,2.55,0.0,28.00000000000011,28.00000000000011,28.00000000000011,
hm,axis,32,2.55,2.55,2.55,0.0,28.00000000000024,28.00000000000025,28.00000000000023,
hm,axis,33,2.55,2.55,2.55,0.0,28.000000000000494,28.000000000000483,28.000000000000494,
hm,axis,34,2.55,2.55,2.55,0.0,28.000000000000977,28.000000000000984,28.000000000000977,
hm,axis,35,2.55,2.55,2.55,0.0,28.000000000001897,28.000000000001904,28.000000000001894,
hm,axis,36,2.55,2.55,2.55,0.0,28.000000000003542,28.000000000003542,28.000000000003546,
hm,axis,37,2.55,2.55,2.55,0.0,28.000000000006395,28.000000000006406,28.000000000006402,
hm,axis,38,2.55,2.55,2.55,0.0,28.00000000001125,28.000000000011255,28.000000000011248,
hm,axis,39,2.55,2.55,2.55,0.0,28.000000000019227,28.000000000019238,28.00000000001923,
hm,axis,40,2.55,2.55,2.55,0.0,28.000000000032077,28.00000000003209,28.00000000003208,
hm,axis,41,2.55,2.55,2.55,0.0,28.00000000005229,28.000000000052307,28.000000000052285,
hm,axis,42,2.55,2.55,2.55,0.0,28.000000000083393,28.0000000000834,28.000000000083393,
hm,axis,43,2.55,2.55,2.55,0.0,28.00000000013033,28.000000000130342,28.000000000130353,
hm,axis,44,2.55,2.55,2.55,0.0,28.000000000199908,28.000000000199908,28.00000000019995,
hm,axis,45,2.55,2.55,2.55,0.0,28.000000000301295,28.000000000301263,28.000000000301352,
hm,axis,46,2.55,2.55,2.55,0.0,28.000000000446672,28.000000000446608,28.000000000446768,
hm,axis,47,2.55,2.55,2.55,0.0,28.000000000652037,28.000000000651887,28.00000000065216,
hm,axis,48,2.55,2.55,2.55,0.0,28.000000000938037,28.000000000937806,28.000000000938236,
hm,axis,49,2.55,2.55,2.55,0.0,28.000000001331106,28.000000001330793,28.000000001331482,
hm,axis,50,2.55,2.55,2.55,0.0,28.000000001864656,28.00000000186418,28.00000000186527,
hm,axis,51,2.55,2.55,2.55,0.0,28.00000000258053,28.000000002579757,28.000000002581423,
hm,axis,52,2.55,2.55,2.55,0.0,28.000000003530403,28.000000003529298,28.000000003531717,
hm,axis,53,2.55,2.55,2.55,0.0,28.00000000477775,28.00000000477612,28.000000004779633,
hm,axis,54,2.55,2.55,2.55,0.0,28.00000000639979,28.000000006397347,28.000000006402267,
hm,axis,55,2.55,2.55,2.55,0.0,28.000000008489373,28.00000000848605,28.000000008492655,
hm,axis,56,2.55,2.55,2.55,0.0,28.000000011157592,28.000000011153073,28.000000011162125,
hm,axis,57,2.55,2.55,2.55,0.0,28.00000001453649,28.000000014530386,28.00000001454249,
hm,axis,58,2.55,2.55,2.55,0.0,28.000000018781222,28.000000018773243,28.00000001878929,
hm,axis,59,2.55,2.55,2.55,0.0,28.000000024073884,28.00000002406332,28.00000002408468,
hm,axis,60,2.55,2.55,2.55,0.0,28.00000003062583,28.000000030612014,28.000000030640003,
hm,axis,61,2.55,2.55,2.55,0.0,28.000000038682252,28.000000038664314,28.000000038700502,
hm,axis,62,2.55,2.55,2.55,0.0,28.000000048524296,28.000000048501256,28.000000048547612,
hm,axis,63,2.55,2.55,2.55,0.0,28.00000006047385,28.000000060444524,28.00000006050339,
hm,axis,64,2.55,2.55,2.55,0.0,28.0000000748969,28.000000074859887,28.00000007493405,
hm,axis,65,2.55,2.55,2.55,0.0,28.000000092207998,28.000000092161613,28.00000009225442,
hm,axis,66,2.55,2.55,2.55,0.0,28.000000112874332,28.00000011281664,28.000000112931954,
hm,axis,67,2.55,2.55,2.55,0.0,28.000000137419818,28.000000137348543,28.000000137490918,
hm,axis,68,2.55,2.55,2.55,0.0,28.000000166430002,28.000000166342424,28.00000016651721,
hm,axis,69,2.55,2.55,2.55,0.0,28.000000200556595,28.000000200449605,28.000000200663017,
hm,axis,70,2.55,2.55,2.55,0.0,28.000000240521896,28.000000240391934,28.000000240651065,
hm,axis,71,2.55,2.55,2.55,0.0,28.000000287123463,28.0000002869664,28.000000287279455,
hm,axis,72,2.55,2.55,2.55,0.0,28.000000341239247,28.000000341050367,28.00000034142674,
hm,axis,73,2.55,2.55,2.55,0.0,28.0000004038325,28.00000040360638,28.00000040405687,
hm,axis,74,2.55,2.55,2.55,0.0,28.000000475957403,28.00000047568771,28.00000047622494,
hm,axis,75,2.55,2.55,2.55,0.0,28.000000558761815,28.000000558441602,28.000000559079357,
hm,axis,76,2.55,2.55,2.55,0.0,28.000000653493817,28.000000653115936,28.000000653868927,
hm,axis,77,2.55,2.55,2.55,0.0,28.000000761506964,28.00000076106164,28.000000761948222,
hm,axis,78,2.55,2.55,2.55,0.0,28.00000088426235,28.000000883739766,28.000000884780217,
hm,axis,79,2.55,2.55,2.55,0.0,28.000001023337777,28.00000102272685,28.000001023942755,
hm,axis,80,2.55,2.55,2.55,0.0,28.00000118043032,28.00000117971915,28.000001181135218,
hm,axis,81,2.55,2.55,2.55,0.0,28.00000135736352,28.000001356536785,28.00000135817849,
hm,axis,82,2.55,2.55,2.55,0.0,28.000001556082267,28.000001555125053,28.00000155702314,
hm,axis,83,2.55,2.55,2.55,0.0,28.000001778672754,28.000001777569533,28.00000177975375,
hm,axis,84,2.55,2.55,2.55,0.0,28.00000202735094,28.00000202608102,28.000002028592203,
hm,axis,85,2.55,2.55,2.55,0.0,28.000002304479608,28.0000023030252,28.000002305902882,
hm,axis,86,2.55,2.55,2.55,0.0,28.00000261256957,28.00000261090378,28.000002614195953,
hm,axis,87,2.55,2.55,2.55,0.0,28.000002954274397,28.00000295237482,28.00000295613219,
hm,axis,88,2.55,2.55,2.55,0.0,28.000003332411172,28.00000333024845,28.000003334526408,
hm,axis,89,2.55,2.55,2.55,0.0,28.000003749948583,28.0000037474937,28.0000037523515,
hm,axis,90,2.55,2.55,2.55,0.0,28.00000421001776,28.00000420723789,28.000004212742112,
hm,axis,91,2.55,2.55,2.55,0.0,28.000004715915907,28.00000471277534,28.00000471899752,
hm,axis,92,2.55,2.55,2.55,0.0,28.00000527110897,28.00000526756845,28.000005274587433,
hm,axis,93,2.55,2.55,2.55,0.0,28.000005879234806,28.000005875252185,28.000005883150326,
hm,axis,94,2.55,2.55,2.55,0.0,28.00000654410414,28.00000653963383,28.00000654850214,
hm,axis,95,2.55,2.55,2.55,0.0,28.000007269707275,28.00000726469963,28.000007274636157,
hm,axis,96,2.55,2.55,2.55,0.0,28.000008060211684,28.00000805461433,28.000008065722618,
hm,axis,97,2.55,2.55,2.55,0.0,28.00000891996954,28.00000891372474,28.00000892611952,
hm,axis,98,2.55,2.55,2.55,0.0,28.00000985351538,28.000009846562584,28.000009860364266,
