time_s,r0cm,r0.1cm,r0.2cm,r0.3cm,r0.4cm,r0.5cm,r0.6cm,r0.7cm,r0.8cm,r0.9cm,r1cm,r1.1cm,r1.2cm,r1.3cm,r1.4cm,r1.5cm,r1.6cm,r1.7cm,r1.8cm,r1.9cm,r2cm
60.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999985,2.5499999999351495,2.5499999276357714,2.5499797110835596,2.548504450823521,2.518471689681515,2.3270845716171036
120.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999994,2.5499999999999994,2.549999999999536,2.5499999998551046,2.5499999775653577,2.549998264806281,2.5499321383811,2.548632843985518,2.5353924861915704,2.4632484157079926,2.242095748384864
180.0,2.55,2.55,2.55,2.55,2.5499999999999994,2.55,2.55,2.5500000000000003,2.55,2.549999999999999,2.549999999999775,2.549999999972066,2.549999997821941,2.5499998932969237,2.549996700135368,2.5499351382433693,2.5491817080049293,2.543278821885812,2.513286499219883,2.4123541562609443,2.179837588705008
240.0,2.5499999999999994,2.5499999999999994,2.55,2.5499999999999994,2.55,2.5499999999999994,2.5500000000000003,2.55,2.5499999999999625,2.5499999999970693,2.5499999998399874,2.5499999938351317,2.5499998320702075,2.5499967566594712,2.5499554026458986,2.5495608638878284,2.5468782360518443,2.5337915757959246,2.487504954529333,2.3668380958006154,2.1292865192151873
300.0,2.5500000000000003,2.55,2.55,2.5499999999999994,2.55,2.55,2.5499999999999954,2.549999999999754,2.5499999999892893,2.5499999996461544,2.5499999911343716,2.549999831412437,2.549997563009755,2.549973153474767,2.5497737934833653,2.548534798986754,2.5426531493849445,2.5212022293876903,2.4605531969608943,2.325823839430858,2.0863564733918585
360.0,2.55,2.55,2.55,2.55,2.5499999999999994,2.5499999999999807,2.5499999999992986,2.5499999999793235,2.549999999514472,2.5499999909218407,2.549999864876446,2.549998397939034,2.5499848485001637,2.549885438873403,2.5493052560928926,2.546605666975896,2.5365572439139985,2.5064806985177706,2.4335203346501086,2.288496040134598,2.048875316408862
420.0,2.5499999999999994,2.55,2.55,2.549999999999998,2.5499999999999527,2.54999999999874,2.5499999999721727,2.549999999491374,2.5499999923259304,2.549999904555921,2.5499990218073845,2.549991734552733,2.549942347814662,2.5496673815713233,2.548408102869689,2.54365460711248,2.528818981923135,2.4903553472578475,2.406946145702367,2.2542524325539803,2.01546273352615
480.0,2.5500000000000003,2.55,2.5499999999999967,2.5499999999999163,2.5499999999982865,2.549999999969883,2.549999999547462,2.5499999942214187,2.5499999374857323,2.5499994278724296,2.5499955722578584,2.549971012192884,2.5498392801629146,2.549243980612625,2.5469748518731574,2.5396655940616046,2.5197114104284943,2.473344373357892,2.3810813925503926,2.2226067809866024,1.9852256253921416
540.0,2.549999999999999,2.5499999999999927,2.5499999999998764,2.5499999999980263,2.5499999999714724,2.5499999996360048,2.5499999959482134,2.549999960887185,2.549999673597007,2.5499976488139806,2.5499853881647505,2.5499216328361274,2.549636923384212,2.548544494665222,2.5449391296774873,2.5346865586904284,2.5094970133478394,2.455814935228814,2.3560404335115614,2.1931667072706107,1.9576422279880275
600.0,2.5499999999999616,2.549999999999819,2.5499999999978904,2.549999999974884,2.549999999723894,2.549999997275525,2.5499999761614176,2.5499998161617627,2.5499987544403075,2.54999259752752,2.5499614316599177,2.5498237951373586,2.5492934966966785,2.547510138221051,2.542270286862752,2.5287966684558336,2.4983988705250346,2.4380067509733365,2.331830791305781,2.1656301815843766,1.932333743228653
660.0,2.5499999999993657,2.5499999999975764,2.549999999978161,2.549999999795256,2.549999998201751,2.549999985630884,2.5499998968207653,2.5499993382829182,2.5499962219954924,2.549980828766793,2.549913589405657,2.5496540036785884,2.5487683193625315,2.54609655366184,2.5389639733444946,2.5220862524384318,2.4866011239730517,2.420087374318246,2.3084486499712282,2.1397707978470852,1.9089928493853032
720.0,2.5499999999933527,2.549999999978631,2.549999999844548,2.5499999988061552,2.549999991308974,2.549999941786016,2.5499996456760887,2.5499980524132693,2.5499903642292545,2.54995716142655,2.5498289789768984,2.549386862374129,2.5480245897618317,2.5442733422588097,2.535033571412578,2.5146453034467786,2.474251119192522,2.402169601047499,2.2858659749731234,2.1154120462295603,1.8873220709867093
780.0,2.5499999999510097,2.5499999998632488,2.549999999170896,2.5499999946252347,2.5499999666384507,2.549999807635169,2.5499989825261458,2.5499950941308662,2.5499785092328158,2.5499146162171873,2.549692553460363,2.548996691597125,2.547030845952069,2.542022332537744,2.5305043879909004,2.5065613979565637,2.461475191019186,2.384348865601846,2.2640754999920025,2.0924019301154084,1.8670904732250344
840.0,2.5499999997260274,2.549999999320155,2.549999996477419,2.549999980265836,2.5499998932127346,2.5499994587493586,2.5499974630017146,2.5499890722218232,2.549956891805986,2.549844536768439,2.549487850846332,2.54845886512323,2.5457616870522695,2.539335814102677,2.5254095003176587,2.497916515799395,2.448376956185011,2.3666900074307837,2.2430417289873104,2.0706050176702724,1.8481242914761558
900.0,2.5499999987717183,2.5499999972400813,2.549999987529884,2.5499999384828453,2.5499997045865235,2.5499986616492505,2.549994353024142,2.549977951186321,2.549920606904816,2.5497368444718,2.549197740226795,2.547750728333289,2.544197716100696,2.536214377724615,2.519786546683604,2.488787179566906,2.43504602502448,2.3492481614153093,2.2227445259524794,2.0499098778034557,1.8302413319788509
960.0,2.549999995400258,2.549999990501796,2.549999961955375,2.5499998321918236,2.5499992744781874,2.549997021828119,2.5499885436962475,2.549958968134739,2.549863647197818,2.5495803776392063,2.5488051132270604,2.5468522548693047,2.5423253501811316,2.532665437678458,2.5136758153011436,2.4792432226869394,2.4215552751670404,2.3320563095603197,2.203138112555546,2.0301950334087913,1.8134092023218555
1020.0,2.549999985152465,2.5499999714849797,2.549999897354112,2.5499995900707537,2.549998385227843,2.5499939266543814,2.54997847605189,2.5499285916409886,2.5497790095449724,2.5493632572191265,2.5482934245006406,2.5457462647249343,2.5401358857397063,2.5287005477861224,2.5071160648740505,2.4693432117568554,2.4079575355967324,2.3151268975744115,2.1841765677024125,2.0113940603460763,1.797491546978508
1080.0,2.5499999576682653,2.5499999236406152,2.549999750115438,2.5499990869389704,2.5499966904436504,2.549988487874185,2.549962082013097,2.5498825199235546,2.5496588406900504,2.5490732194407895,2.5476470521346117,2.544418404097403,2.5376247714520197,2.524334523779381,2.500145726308,2.459141490013116,2.394302278399634,2.298479904920127,2.1658371750409424,1.9934246851573165,1.7824865215084265
1140.0,2.549999891320478,2.5499998143675855,2.549999442318736,2.549998119077238,2.5499936739297167,2.5499794881716786,2.5499367454920954,2.549815715314339,2.549494613441071,2.5486979363662674,2.5468516062799935,2.5428571272019993,2.534790945814082,2.5195838835628503,2.492799672713269,2.448680626004577,2.380618252650995,2.2821068391261656,2.1480645864671626,1.9762387519934534,1.768308799691513
1200.0,2.549999744841383,2.5499995844936953,2.5499988443888832,2.549996375202866,2.549988607355806,2.5499653352835363,2.5498992837835237,2.549722462531575,2.5492772939004964,2.5482252288385463,2.5458939566095116,2.5410531879327323,2.5316356271276836,2.514465580517633,2.485110294623925,2.4380000199548997,2.366937695237617,2.2660216106128273,2.1308573707713196,1.9597935174417154,1.754838212244064
1260.0,2.549999445246491,2.5499991338075243,2.5499977534839147,2.549993404121303,2.5499805087983054,2.5499440253289976,2.549845946987313,2.54959644467405,2.548997512638915,2.54764329139449,2.544762424423878,2.5389998061231958,2.528162772112084,2.508998371723247,2.477109903523001,2.427137109376462,2.3532898746738438,2.250232990983021,2.1141925000942203,1.9440350023476685,1.7419707492614769
1320.0,2.549998871542309,2.549998302325449,2.549995867936696,2.5499885804281996,2.549968104561648,2.5499131180093078,2.5497724377387843,2.54943084071547,2.548645745280794,2.5469408980719788,2.5434468855934105,2.536692518859049,2.5243785962494747,2.5032020815766542,2.468830076936844,2.416127633629711,2.339703254208142,2.2347497796623985,2.098047022367543,1.928892439999646,1.729738562990512
1380.0,2.549997833993565,2.5499968473012284,2.549992758433588,2.5499810698648893,2.5499497963880566,2.5498697247021918,2.5496739483844486,2.549218434242649,2.548212481463801,2.5461075594774822,2.541938781639991,2.5341288771280412,2.520290745530821,2.4970958168781108,2.4602977872537513,2.4049971505601437,2.326188744117597,2.219554770872734,2.082371903093095,1.914339403807023,1.718134525641385
1440.0,2.549996049064398,2.5499944163186306,2.549987836854974,2.5499697958014487,2.5499236351240975,2.5498105076031545,2.5495452060566346,2.548951707417586,2.547688322029869,2.545133503018172,2.540230801551949,2.531307685386125,2.51590722643694,2.490697428254961,2.4515375739430496,2.3937701825999,2.3127628650365972,2.2046526178097894,2.0671690016679047,1.9003590743509469,1.7069978350115522
1500.0,2.5499931103996603,2.5499905169884394,2.5499803235997685,2.549953407583506,2.5498873003055267,2.5497316867418722,2.5493805219435033,2.5486229324964276,2.547064089766652,2.5440097795837366,2.538317041509268,2.52822947800855,2.5112377301366062,2.484026241866618,2.442575514141056,2.382473473733337,2.299445972783784,2.1900527455514798,2.052429582245148,1.8869036399947552,1.6962502446947003
1560.0,2.549988456519905,2.5499844840669446,2.5499692145596446,2.549930252345073,2.549838088147555,2.549629060513763,2.549173859511486,2.5482242920090665,2.5463309889524366,2.5427284399742858,2.5361931843528764,2.524896700868576,2.5062937786727604,2.477103006365973,2.4334387112424554,2.3711348988908996,2.286259796102569,2.1757623934490518,2.038133247480553,1.8739148995675274,1.6859259094145602
1620.0,2.549981336396613,2.5499754453152095,2.549953249437892,2.549898352361306,2.54977291005462,2.5494980407226278,2.5489189176500995,2.547748007137911,2.5454807518341886,2.5412826422682446,2.5338564701424575,2.5213133618723558,2.5010876681330387,2.4699473469073565,2.42414988055217,2.35977300470764,2.2732095471803913,2.1617639052043023,2.0242382102177165,1.8613723686507022,1.6760020924882848
