time_h,r0cm,r0.5cm,r1cm,r1.5cm,r2cm
6.0,1.0169683671426872,0.9881384782978624,0.9015272096200433,0.755008022019995,0.5327792641047138
12.0,0.45614938659032805,0.44316463851432086,0.4030766879845035,0.32973880130514205,0.1641757399654031
18.0,0.29884260068953233,0.29155187857980097,0.268711772153125,0.2253015831971623,0.08446522406477906
24.0,0.23779952507335866,0.23273962071308021,0.21672598807400417,0.1855496323590855,0.06646163895109819
30.0,0.20582402434175082,0.201845291911088,0.18916747222027888,0.16409167066550057,0.05982839056569168
36.0,0.18587794732573126,0.18252998899611894,0.1718112918963737,0.15037478266734827,0.05663586559729112
42.0,0.17206628095291307,0.16913268066721215,0.1597073917002433,0.14070183515659573,0.054840540378907544
48.0,0.1618276885348094,0.15918849805967278,0.1506857755869198,0.13343001408252772,0.05372230140560996
54.0,0.15386733453051785,0.1514491510109725,0.14364114118722304,0.12771269252983392,0.052973692569468135
57.4741,0.14999989358790375,0.14768650569115718,0.1402086074307979,0.12491401321217063,0.052646936354767346
