time_s,0cm,0.1cm,0.2cm,0.3cm,0.4cm,0.5cm,0.6cm,0.7cm,0.8cm,0.9cm,1cm,1.1cm,1.2cm,1.3cm,1.4cm,1.5cm,1.6cm,1.7cm,1.8cm,1.9cm,2cm
60,2.5500000000000007,2.549999999999998,2.5499999999999989,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999999999994,2.5499999999999994,2.5500000000000003,2.5499999999999998,2.549999999999998,2.5500000000000003,2.5499999999999994,2.5499999999999856,2.549999999935411,2.5499999277276304,2.5499797168397675,2.5485044873073481,2.5184715076013919,2.327084211304689
120,2.5500000000000007,2.5499999999999985,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5500000000000012,2.549999999999998,2.5499999999995389,2.5499999998554936,2.5499999775925826,2.5499982656305411,2.5499321482406185,2.5486328800531535,2.5353924524446039,2.4632481360979859,2.2420954142250524
180,2.5500000000000003,2.5499999999999998,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5500000000000003,2.5500000000000003,2.5499999999999985,2.5499999999999994,2.549999999999998,2.5499999999997778,2.5499999999721448,2.5499999978252679,2.5499998933792516,2.5499967012841043,2.5499351468343949,2.5491817382259514,2.5432788468835978,2.5132863840317365,2.4123538546864656,2.1798372739656209
240,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5500000000000007,2.5499999999999998,2.5499999999999989,2.5499999999999625,2.5499999999970777,2.5499999998403036,2.54999999384225,2.5499998321766162,2.5499967576898683,2.5499554089217034,2.5495608863713852,2.5468782741496159,2.5337915645188311,2.4875047854139996,2.3668377916836065,2.1292862201951035
300,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5500000000000007,2.5499999999999945,2.5499999999997551,2.5499999999893155,2.5499999996467273,2.5499999911432387,2.5499998315107919,2.5499975637853782,2.5499731577084606,2.5497738089033817,2.5485348331201343,2.542653179882314,2.5212021783767664,2.4605529943371955,2.3258235392800826,2.0863561884768043
360,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999816,2.5499999999993004,2.5499999999793679,2.5499999995151756,2.5499999909302837,2.5499998649538047,2.5499983984715331,2.5499848512263097,2.5498854489396523,2.549305281675093,2.5466057060703471,2.5365572572305939,2.5064806121437142,2.4335201113298703,2.2884957468525697,2.0488750438762549
420,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.5499999999999985,2.5499999999999519,2.5499999999987439,2.5499999999722274,2.5499999994920648,2.5499999923328778,2.5499999046112976,2.5499990221554762,2.5499917362510187,2.549942354168647,2.5496673991646492,2.5484081367970792,2.5436546442587225,2.5288189737979563,2.4903552316041049,2.4069459100182589,2.2542521472067305,2.0154624721728216
480,2.5499999999999998,2.5499999999999998,2.5499999999999976,2.5499999999999177,2.5499999999982914,2.5499999999699385,2.5499999995480569,2.5499999942266451,2.5499999375233249,2.5499994280923244,2.5499955732974828,2.549971016098262,2.5498392916552226,2.5492440060235753,2.5469748908446292,2.5396656238469295,2.5197113799327928,2.4733442342873988,2.3810811499286002,2.2226065039529401,1.9852253739790782
540,2.5499999999999998,2.5499999999999936,2.5499999999998764,2.5499999999980312,2.5499999999715244,2.5499999996364795,2.5499999959519388,2.5499999609118458,2.5499996737334993,2.5499976494405088,2.5499853905329739,2.5499216400727915,2.5496369409638318,2.548544526982178,2.544939170047388,2.5346865774771743,2.5094969613864406,2.4558147778025106,2.3560401875938193,2.193166438426803,1.9576419860448016
600,2.5499999999999621,2.5499999999998195,2.5499999999978944,2.5499999999749279,2.5499999997242551,2.5499999972781038,2.5499999761772867,2.5499998162455086,2.5499987548157597,2.5499925989447596,2.549961436129367,2.5498238066797279,2.549293520627002,2.5475101757694105,2.5422703253037522,2.5287966741325567,2.4983987988891529,2.4380065793262959,2.3318305444611473,2.1656299209322221,1.9323335100955812
