time_h,C_r0cm,C_r0.5cm,C_r1cm,C_r1.5cm,C_r2cm
6,1.01696835544296,0.9881384706421591,0.9015272105086832,0.7550080306128081,0.5327792747122767
12,0.4561493821147028,0.4431646359038852,0.4030766892820596,0.3297388061464365,0.1641757448315264
18,0.2988425964430403,0.291551875526415,0.2687117717204138,0.2253015855248936,0.08446522636907756
24,0.2377995218157335,0.2327396182434483,0.2167259873751734,0.1855496336280693,0.06646163170138077
30,0.2058240217506178,0.2018452898944087,0.1891674715154211,0.1640916714921196,0.05982838594694467
36,0.1858779451694906,0.1825299872946642,0.1718112912466319,0.1503747832940781,0.05663586574354992
42,0.1720662791003491,0.1691326791939307,0.1597073911120234,0.1407018356720618,0.05484054280003432
48,0.1618276869048003,0.1591884967569752,0.1506857750530023,0.1334300145260782,0.05372230443074997
54,0.1538673330699535,0.1514491498397427,0.1436411406988982,0.127712692922583,0.05297369545638497
57.47409999999999,0.1499998922080322,0.1476865045829624,0.1402086069653108,0.124914013581699,0.05264693902672237
