time_s,radius_m,max_C,max_radius_m,mean_C,T_surface_C,C_surface,T_r0.0cm_C,T_r0.1cm_C,T_r0.2cm_C,T_r0.3cm_C,T_r0.4cm_C,T_r0.5cm_C,T_r0.6cm_C,T_r0.7cm_C,T_r0.8cm_C,T_r0.9cm_C,T_r1.0cm_C,T_r1.1cm_C,T_r1.2cm_C,T_r1.3cm_C,T_r1.4cm_C,T_r1.5cm_C,T_r1.6cm_C,T_r1.7cm_C,T_r1.8cm_C,T_r1.9cm_C,T_r2.0cm_C,C_r0.0cm,C_r0.1cm,C_r0.2cm,C_r0.3cm,C_r0.4cm,C_r0.5cm,C_r0.6cm,C_r0.7cm,C_r0.8cm,C_r0.9cm,C_r1.0cm,C_r1.1cm,C_r1.2cm,C_r1.3cm,C_r1.4cm,C_r1.5cm,C_r1.6cm,C_r1.7cm,C_r1.8cm,C_r1.9cm,C_r2.0cm
0,0.02,2.5499999999999998,0,2.5499999999999998,28,2.5499999999999998,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998
60,0.019957666666666669,2.5500000000000025,0.012951506653046944,2.5394070001184845,28.074842076707171,2.0794273405626695,28.000000000001151,28.000000000003116,28.00000000001819,28.00000000011498,28.000000000703931,28.000000004051941,28.000000021666693,28.000000107005278,28.00000048671216,28.00000203635414,28.000007834971797,28.000027734068063,28.000090407282848,28.000271785208444,28.000754880938086,28.001941461486783,28.004635635992273,28.010306567326335,28.021408818218561,28.041700656671047,,2.5500000000000016,2.5499999999999998,2.5499999999999994,2.5499999999999976,2.5500000000000007,2.5500000000000016,2.5500000000000007,2.5500000000000012,2.5500000000000016,2.5500000000000003,2.550000000000002,2.5499999999999989,2.5500000000000007,2.550000000000002,2.5500000000000003,2.5499999999999985,2.5500000000000007,2.5500000000000007,2.549999996170849,2.5486375135367423,
120,0.019915333333333333,2.550000000000002,0.0080214120485402347,2.5298979399020283,28.2238585290578,1.9230008917652681,28.000000320091583,28.000000442071912,28.000000926856458,28.000002234358067,28.000005545801375,28.000013661359244,28.000032919684109,28.000077069383508,28.000174674126061,28.000382549114217,28.000808884326961,28.001650986839966,28.003253714398426,28.006195246160001,28.011406178028636,28.020325076138892,28.035087438208937,28.05873481538098,28.0954176308671,28.150566210521749,,2.5500000000000016,2.5499999999999985,2.5499999999999985,2.549999999999998,2.5500000000000016,2.5500000000000012,2.5500000000000003,2.5499999999999994,2.5500000000000016,2.5499999999999994,2.5500000000000007,2.5499999999999985,2.5500000000000003,2.5500000000000007,2.5499999999999994,2.5499999999999989,2.5500000000000003,2.5499999990757622,2.549971340361521,2.5268685554606867,
180,0.019873000000000002,2.5500000000000012,0,2.5209901977000539,28.394044909069642,1.8158338579705144,28.000032369821039,28.000038126301149,28.000057886492254,28.000100016874448,28.000181654833227,28.000334256315867,28.000612921295634,28.001111128217012,28.001983000690906,28.003475593614137,28.005973707987138,28.01005908861098,28.016584096511114,28.026756710773757,28.042229062533515,28.065176637707765,28.098352035738642,28.145098633515911,28.209317889727725,28.295478368315518,,2.5500000000000016,2.5499999999999985,2.5499999999999994,2.5499999999999989,2.5500000000000007,2.5500000000000016,2.5499999999999994,2.5499999999999994,2.550000000000002,2.5499999999999994,2.5500000000000003,2.5500000000000003,2.5499999999999989,2.5500000000000003,2.5500000000000007,2.5499999999999994,2.54999999995144,2.5499993563626786,2.549301987359776,2.4792052888176004,
240,0.019830666666666667,2.550000000000002,0,2.5125192846711872,28.558464028692718,1.7331877578178492,28.000404244000435,28.000447669681101,28.000588841418153,28.00086251978324,28.001333740633569,28.002109069868446,28.003353461472184,28.00531356369175,28.008348160665335,28.012965939225865,28.019869837130607,28.030005778603588,28.044611604307512,28.065259567560428,28.093883346686926,28.132779147347751,28.184571783665024,28.252142291061034,28.338527704160143,28.447033077692385,,2.5500000000000016,2.549999999999998,2.5499999999999989,2.5499999999999972,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999976,2.5500000000000012,2.5499999999999994,2.5499999999999994,2.5499999999999998,2.5499999999999985,2.5500000000000007,2.5499999999999989,2.5499999999982692,2.5499999850990807,2.5499809911085531,2.5461967741026927,2.4162390112129026,
300,0.019788333333333335,2.550000000000002,0.00797844451381996,2.5043930513957031,28.788565369312817,1.6661136250512127,28.002086124352825,28.002238753752302,28.002721416911605,28.003611082002092,28.005044847055498,28.007233157562514,28.010478179443027,28.01519695018256,28.021948537807717,28.031463989439477,28.044677602806519,28.062758510795877,28.087143472874992,28.119575775022327,28.162160995455093,28.217455767802484,28.288605650231798,28.379537136616197,28.495201199239482,28.642283162258593,,2.5500000000000016,2.5499999999999985,2.5499999999999994,2.5499999999999989,2.5500000000000003,2.5500000000000007,2.5499999999999998,2.5499999999999985,2.550000000000002,2.5499999999999985,2.5500000000000003,2.5499999999999994,2.5499999999999994,2.5500000000000007,2.5499999999999465,2.5499999996499403,2.5499995037886505,2.549845568257167,2.5388859260726133,2.3455123736253851,
360,0.019746,2.5500000000000012,0,2.4965492443262942,29.020528718084638,1.6098223110724301,28.006669350737813,28.007024313127868,28.008128810159647,28.01010411622395,28.01316045781002,28.017609020122435,28.023878527309634,28.032536330122184,28.044314150845324,28.060138960995612,28.081169717504928,28.10884040595408,28.144908296661466,28.191502752461361,28.25116428446497,28.326857526645494,28.421939357926053,28.54007041546587,28.685122990358153,28.861863554543287,,2.5500000000000012,2.549999999999998,2.5499999999999989,2.549999999999998,2.5499999999999998,2.5500000000000007,2.5499999999999994,2.549999999999998,2.550000000000002,2.549999999999998,2.5499999999999994,2.5499999999999998,2.5500000000000007,2.5499999999999994,2.5499999999917162,2.5499999873276917,2.5499946239441238,2.5493496035153567,2.5264641679944639,2.2712036051029871,
420,0.019703666666666668,2.5500000000000016,0.0080119399571088011,2.4889448801538521,29.260332932053885,1.5613426696438075,28.015908970243473,28.0165574043763,28.018556315990814,28.022068940598494,28.027375355569706,28.034884465350082,28.045150640242628,28.058894718086552,28.077028747819188,28.100683322066534,28.13123562873988,28.170335589039855,28.219926942656059,28.282260300904412,28.359896333064608,28.455699283163145,28.572823219465779,28.714697951976159,28.885119573040924,29.089468467974296,,2.5500000000000007,2.5499999999999985,2.5499999999999994,2.5499999999999994,2.5499999999999994,2.5499999999999994,2.5499999999999985,2.5499999999999976,2.5500000000000012,2.5499999999999989,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999998044,2.5499999996808698,2.5499998295723341,2.5499695518615138,2.5481312179337161,2.5087989183436625,2.1957971825451961,
480,0.019661333333333333,2.5500000000000012,0.0080463339873767508,2.481547690460193,29.479688577052645,1.5187792612631839,28.031496489107457,28.03252748127931,28.035687750497829,28.041181332340667,28.049355384234573,28.06071049664375,28.075914427575793,28.095818501215152,28.121475628819926,28.154158581122555,28.195376702202402,28.246888543802712,28.310706659636438,28.389088843036799,28.484507719521552,28.599589163183182,28.737012204105309,28.899380545995513,29.089255748767656,29.310598724628104,,2.5500000000000007,2.5499999999999994,2.5499999999999994,2.5499999999999989,2.549999999999998,2.5500000000000003,2.5499999999999994,2.549999999999998,2.5500000000000012,2.5499999999999989,2.5499999999999994,2.5499999999999998,2.5499999999999954,2.5499999999920497,2.5499999949228536,2.5499987717065959,2.549885584428691,2.5457909054397723,2.4862175125054735,2.1207109748713653,
540,0.019619000000000001,2.5500000000000012,0.0079979176951420899,2.4743329291636487,29.732557233294646,1.4810938382794077,28.055063269608702,28.056558484385672,28.061122758848747,28.06899355206393,28.080571717751059,28.096428634969481,28.117315147742765,28.144171188824089,28.178134563812826,28.220547025715042,28.272955695004313,28.337108494783475,28.414944163888965,28.508581051220077,28.62031395350251,28.752632769189397,28.908277520152378,29.090356066524972,29.302775748892142,29.552353975593462,,2.5500000000000007,2.5499999999999989,2.5500000000000003,2.5499999999999985,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5499999999999985,2.5500000000000007,2.5499999999999998,2.5499999999999994,2.5499999999999985,2.5499999999998035,2.5499999998553116,2.549999955372654,2.5499941805855189,2.5496740628149261,2.541965446948856,2.4592712725888166,2.0467583970843419,
600,0.019576666666666666,2.550000000000002,0.0079417647053627322,2.4672792670440047,29.993635725370719,1.4474919163212874,28.087984579843678,28.090006146353595,28.096156891453791,28.106695737193764,28.122056717001033,28.142852320468528,28.169877464075583,28.204113589732831,28.246732558354267,28.299100359143004,28.36278110693258,28.439542098823729,28.531360428624538,28.640430372339679,28.769168366462395,28.920209679055262,29.096391320673913,29.300755451463839,29.536938365977342,29.8114871127102,,2.5500000000000007,2.5499999999999985,2.5499999999999989,2.5499999999999985,2.5499999999999998,2.5500000000000007,2.5499999999999998,2.549999999999998,2.5500000000000012,2.5500000000000003,2.5499999999999989,2.5499999999999949,2.5499999999960137,2.5499999984986155,2.549999741749196,2.5499794951663173,2.5492367881705063,2.5363660102268342,2.4285527604969706,1.9743611993916907,
660,0.019534333333333334,2.5500000000000012,0.0079583839935007238,2.4603688441751235,30.288992548170036,1.4173533869573764,28.131198868405615,28.133784032039163,28.141629565112098,28.155006029237441,28.174365783339656,28.200345026712672,28.233766489720477,28.275642622092281,28.32717909850755,28.389778450139936,28.465043725486886,28.55478249146303,28.661012523778062,28.785972443108044,28.932143049484171,29.102286977715881,29.299516979125269,29.527457935344593,29.790956682590355,30.098977663592269,,2.5500000000000007,2.5499999999999989,2.5499999999999989,2.5499999999999989,2.5499999999999998,2.5500000000000007,2.5499999999999994,2.5499999999999976,2.5500000000000007,2.5499999999999989,2.5499999999999985,2.5499999999998932,2.549999999952361,2.5499999896650527,2.5499988991833598,2.5499418392439974,2.548452576524705,2.5287904841813464,2.3946455503223549,1.903824047251881,
