time_s,r=0.0cm,r=0.1cm,r=0.2cm,r=0.3cm,r=0.4cm,r=0.5cm,r=0.6cm,r=0.7cm,r=0.8cm,r=0.9cm,r=1.0cm,r=1.1cm,r=1.2cm,r=1.3cm,r=1.4cm,r=1.5cm,r=1.6cm,r=1.7cm,r=1.8cm,r=1.9cm,r=2.0cm
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28.000000000000071,28.000000001252825,28.000001417426816,28.000129668744787
2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27.999999999999996,28,28.00000000000119,28.000000001275122,28.000000308904092,28.000019151441666,28.000365901089562
3,28,28,28,28,28,28,28,28,28,28,28,28,28,27.999999999999996,28.000000000000004,28.000000000001183,28.000000000434728,28.000000058303431,28.000003026211612,28.000065807393312,28.000671000592153
4,28,28,28,28,28,28,28,28,28,28,28.000000000000011,28,28,28.000000000000004,28.000000000000526,28.000000000109093,28.000000010605429,28.000000495604407,28.000011608136518,28.000144414030931,28.001031518453093
5,28,28,28,28,28,28,28,28,28,28.000000000000004,28,27.999999999999996,28.000000000000004,28.00000000000016,28.000000000024073,28.000000001906603,28.00000008303439,28.000002038962098,28.000029196995854,28.000255006948748,28.001439683611
6,28,28,28,28,28,28,28,28,28.000000000000004,27.999999999999996,27.999999999999996,28,28.000000000000039,28.000000000004977,28.000000000341743,28.000000014139548,28.00000035855868,28.000005691984011,28.000058167271714,28.000396738139116,28.001890253817873
7,28,28,28,28,28,28,28.000000000000004,28.000000000000004,28.000000000000004,28.000000000000004,28,28.000000000000011,28.000000000000995,28.000000000061309,28.000000002438274,28.000000063260867,28.000001085819481,28.000012558097101,28.000100211687794,28.000568510305854,28.002379381373526
8,28,28,28,28,28,28.000000000000004,27.999999999999996,28,28,27.999999999999996,27.999999999999996,28.000000000000195,28.000000000011031,28.00000000042488,28.000000011208282,28.000000204426659,28.00000261050711,28.000023719424714,28.00015651009365,28.000769193042682,28.002904085652389
9,28,28,28,28,28.000000000000004,28.000000000000004,28.000000000000004,28.000000000000004,27.999999999999996,28,28.000000000000032,28.00000000000199,28.000000000074724,28.000000001995215,28.000000038186197,28.000000528498628,28.000005349593053,28.000040174770589,28.000227872627534,28.000997700249943,28.003461969099714
10,28,28,28,28,27.999999999999996,27.999999999999996,28.000000000000004,27.999999999999996,27.999999999999996,28,28.000000000000359,28.000000000013269,28.000000000356991,28.000000007102091,28.000000105021893,28.000001163767852,28.000009763508075,28.000062815324146,28.00031484493763,28.00125301610726,28.004051048689075
11,28,28,28.000000000000004,28.000000000000004,27.999999999999996,28.000000000000004,27.999999999999989,28.000000000000004,28.000000000000011,28.000000000000075,28.000000000002377,28.00000000006423,28.00000000131843,28.000000020598875,28.000000246396031,28.000002273421803,28.000016332421506,28.000092420721661,28.000417782689926,28.001534200753667,28.004669648649099
12,28,28,28,28,28.000000000000004,28,28,28,28.000000000000014,28.000000000000437,28.000000000011621,28.000000000244768,28.000000004004232,28.00000005111356,28.000000511911736,28.000004050455402,28.000025538288124,28.000129664938953,28.000536904037855,28.001840387867375,28.005316328470986
13,27.999999999999996,27.999999999999996,28,28.000000000000004,27.999999999999989,27.999999999999989,27.999999999999996,28.000000000000004,28.000000000000068,28.000000000002132,28.000000000045514,28.000000000773923,28.000000010442701,28.000000112277547,28.000000966863229,28.000006711503676,28.000037852285221,28.00017512627343,28.000672326792966,28.002170779216247,28.005989832539175
14,28.000000000000004,28.000000000000004,28,28,28,27.999999999999996,28.000000000000004,28.000000000000025,28.000000000000387,28.000000000008498,28.000000000149118,28.000000002109829,28.000000024125214,28.000000223783612,28.000001692019794,28.000010490599024,28.000053726597837,28.000229298466582,28.000824095026914,28.002524638354902,28.006689053684259
