start_s,end_s,radius_cm,delta_H,delta_M,delta_logD,mean_H_rate_s-1,mean_M_rate_s-1,mean_logD_rate_s-1
0,60,0,1.2925159640492234e-09,0,1.2925159640492234e-09,2.1541932734153724e-11,0,2.1541932734153724e-11
60,120,0,2.5725829871101405e-06,0,2.5725829871101405e-06,4.2876383118502344e-08,0,4.2876383118502344e-08
120,180,0,4.6708781979340995e-05,0,4.6708781979340995e-05,7.7847969965568321e-07,0,7.7847969965568321e-07
180,240,0,0.00021654097823477474,0,0.00021654097823477474,3.6090163039129122e-06,0,3.6090163039129122e-06
240,300,0,0.00054367676232409522,-2.4980018054066023e-17,0.00054367676232407029,9.0612793720682532e-06,-4.1633363423443374e-19,9.0612793720678381e-06
300,360,0,0.00098041980087356859,-2.4980018054066023e-17,0.00098041980087354365,1.6340330014559475e-05,-4.1633363423443374e-19,1.6340330014559062e-05
360,420,0,0.0014906471029562654,2.4980018054066023e-17,0.0014906471029562903,2.4844118382604424e-05,4.1633363423443374e-19,2.4844118382604837e-05
420,480,0,0.0020749576376598603,7.4940054162198071e-17,0.0020749576376599354,3.4582627294331004e-05,1.2490009027033013e-18,3.4582627294332257e-05
480,540,0,0.0026954429103190954,-4.9960036108132046e-17,0.0026954429103190456,4.4924048505318257e-05,-8.3266726846886747e-19,4.4924048505317424e-05
540,600,0,0.0033077776698555786,-2.6728619317850643e-15,0.0033077776698529058,5.5129627830926313e-05,-4.4547698863084406e-17,5.5129627830881766e-05
600,660,0,0.0038903627355788492,-4.1142089735046744e-14,0.0038903627355377072,6.4839378926314148e-05,-6.8570149558411236e-16,6.4839378925628458e-05
660,720,0,0.0044620435765631884,-4.1529280014884767e-13,0.0044620435761478956,7.4367392942719813e-05,-6.9215466691474611e-15,7.4367392935798267e-05
720,780,0,0.0050373460731486866,-2.9253099942394554e-12,0.0050373460702233764,8.3955767885811447e-05,-4.8755166570657591e-14,8.3955767837056271e-05
780,840,0,0.0056172167371347226,-1.5549286858096422e-11,0.0056172167215854359,9.3620278952245378e-05,-2.5915478096827371e-13,9.3620278693090593e-05
840,900,0,0.006176760446130726,-6.5973476681691068e-11,0.0061767603801572493,0.0001029460074355121,-1.0995579446948511e-12,0.00010294600633595415
900,960,0,0.0067004014406344889,-2.3312359542781994e-10,0.0067004012075108938,0.00011167335734390815,-3.8853932571303321e-12,0.0001116733534585149
960,1020,0,0.0071704996572703392,-7.0870711799120307e-10,0.007170498948563221,0.00011950832762117232,-1.1811785299853384e-11,0.00011950831580938702
1020,1080,0,0.0075992021265379461,-1.9009591650798187e-09,0.0075992002255787809,0.00012665336877563244,-3.1682652751330309e-11,0.00012665333709297968
1080,1140,0,0.0080025299187343954,-4.5894226419207488e-09,0.0080025253293117531,0.00013337549864557327,-7.6490377365345815e-11,0.00013337542215519589
1140,1200,0,0.0083871727941956381,-1.0133062763872934e-08,0.0083871626611328742,0.00013978621323659397,-1.6888437939788224e-10,0.00013978604435221456
1200,1260,0,0.0087769264039374295,-2.072652584561574e-08,0.0087769056774115832,0.00014628210673229048,-3.4544209742692902e-10,0.00014628176129019305
1260,1320,0,0.0091531427047607944,-3.9691926195795099e-08,0.0091531030128345989,0.00015255237841267991,-6.6153210326325165e-10,0.00015255171688057664
1320,1380,0,0.009494309935994788,-7.1786188518552232e-08,0.0094942381498062701,0.00015823849893324647,-1.1964364753092038e-09,0.00015823730249677116
1380,1440,0,0.009802099487315627,-1.2350048843590146e-07,0.0098019759868271904,0.00016336832478859378,-2.0583414739316911e-09,0.00016336626644711984
1440,1500,0,0.010103986063359882,-2.0333439999242751e-07,0.010103782728959889,0.0001683997677226647,-3.3889066665404584e-09,0.00016839637881599815
1500,1560,0,0.010383497856777404,-3.2202350706000973e-07,0.010383175833270345,0.00017305829761295674,-5.3670584510001621e-09,0.00017305293055450575
1560,1620,0,0.010607903642309263,-4.9268643764754937e-07,0.010607410955871616,0.00017679839403848772,-8.2114406274591568e-09,0.00017679018259786027
1620,1680,0,0.010772123267412032,-7.3087118162562513e-07,0.010771392396230406,0.00017953538779020051,-1.2181186360427085e-08,0.00017952320660384008
1680,1740,0,0.010901675384544646,-1.054523618027048e-06,0.010900620860926618,0.00018169458974241076,-1.7575393633784134e-08,0.00018167701434877696
1740,1800,0,0.011002606871708981,-1.4838623511426173e-06,0.011001123009357839,0.00018337678119514968,-2.4731039185710287e-08,0.00018335205015596398
1800,1860,0,0.011109021794613733,-2.0411894531863208e-06,0.011106980605160546,0.00018515036324356221,-3.4019824219772015e-08,0.00018511634341934242
1860,1920,0,0.011245569882188305,-2.7507233111290228e-06,0.011242819158877176,0.00018742616470313842,-4.5845388518817046e-08,0.0001873803193146196
1920,1980,0,0.011394351856449103,-3.6383258174232932e-06,0.011390713530631679,0.00018990586427415171,-6.0638763623721557e-08,0.00018984522551052799
1980,2040,0,0.011516346262148036,-4.7310649764070734e-06,0.011511615197171629,0.00019193910436913393,-7.8851082940117887e-08,0.00019186025328619383
2040,2100,0,0.011576914556068768,-6.0565572424037275e-06,0.011570857998826364,0.00019294857593447947,-1.0094262070672879e-07,0.00019284763331377274
2100,2160,0,0.011600679151553162,-7.6424559426663284e-06,0.011593036695610496,0.00019334465252588602,-1.2737426571110546e-07,0.00019321727826017492
2160,2220,0,0.011604557346855365,-9.5161560380446764e-06,0.011595041190817321,0.0001934092891142561,-1.5860260063407794e-07,0.000193250686513622
2220,2280,0,0.011582246571513743,-1.1704190951647427e-05,0.011570542380562095,0.00019303744285856239,-1.9506984919412377e-07,0.00019284237300936825
2280,2340,0,0.011552809144175447,-1.4231778693105107e-05,0.011538577365482342,0.00019254681906959078,-2.3719631155175177e-07,0.00019230962275803903
2340,2400,0,0.011531131051072063,-1.7122788254400612e-05,0.011514008262817663,0.00019218551751786772,-2.8537980424001018e-07,0.00019190013771362772
2400,2460,0,0.011512205762958416,-2.0399267211124164e-05,0.011491806495747292,0.00019187009604930693,-3.3998778685206938e-07,0.00019153010826245489
2460,2520,0,0.01149991657739674,-2.4081252416102724e-05,0.011475835324980638,0.00019166527628994566,-4.0135420693504543e-07,0.00019126392208301064
2520,2580,0,0.011484830356276399,-2.8186373865124437e-05,0.011456643982411275,0.00019141383927127331,-4.6977289775207397e-07,0.00019094406637352126
2580,2640,0,0.011468651822505505,-3.2729722727004035e-05,0.011435922099778501,0.0001911441970417584,-5.4549537878340063e-07,0.000190598701662975
2640,2700,0,0.011422394402044678,-3.7723155570718042e-05,0.01138467124647396,0.00019037324003407796,-6.2871925951196735e-07,0.00018974452077456601
2700,2760,0,0.011347285204087787,-4.3174288582872893e-05,0.011304110915504914,0.00018912142006812977,-7.1957147638121484e-07,0.00018840184859174856
2760,2820,0,0.011279428175999862,-4.9088323269344536e-05,0.011230339852730517,0.00018799046959999769,-8.1813872115574227e-07,0.00018717233087884195
2820,2880,0,0.011196647753388356,-5.5467849363285938e-05,0.011141179904025069,0.00018661079588980594,-9.2446415605476565e-07,0.00018568633173375116
2880,2940,0,0.011070738051343232,-6.2310114608699096e-05,0.011008427936734533,0.00018451230085572053,-1.038501910144985e-06,0.00018347379894557555
2940,3000,0,0.010929541958648425,-6.9608174267174504e-05,0.010859933784381251,0.00018215903264414042,-1.1601362377862418e-06,0.00018099889640635418
3000,3060,0,0.010788748803915893,-7.7353681261133067e-05,0.01071139512265476,0.00017981248006526489,-1.2892280210188844e-06,0.000178523252044246
3060,3120,0,0.010623470642577015,-8.5534277156398809e-05,0.010537936365420617,0.00017705784404295025,-1.4255712859399801e-06,0.00017563227275701028
3120,3180,0,0.010443568439662432,-9.4133445765404123e-05,0.010349434993897028,0.00017405947399437387,-1.5688907627567353e-06,0.00017249058323161713
3180,3240,0,0.010285695524110683,-0.00010313391279502819,0.010182561611315654,0.00017142825873517806,-1.7188985465838033e-06,0.00016970936018859424
3240,3300,0,0.01018013371764287,-0.00011252186403139805,0.010067611853611472,0.00016966889529404782,-1.8753644005233009e-06,0.00016779353089352455
3300,3360,0,0.010090114089063351,-0.00012228304881536077,0.0099678310402479906,0.00016816856815105586,-2.0380508135893463e-06,0.00016613051733746652
3360,3420,0,0.0099924001171640686,-0.00013239841448034755,0.0098600017026837204,0.00016654000195273448,-2.2066402413391257e-06,0.00016433336171139533
3420,3480,0,0.0098722527239841207,-0.00014284529098436416,0.0097294074329997565,0.00016453754539973536,-2.3807548497394027e-06,0.00016215679054999593
3480,3540,0,0.0097198527265138779,-0.00015359644161902215,0.0095662562848948564,0.00016199754544189796,-2.5599406936503692e-06,0.00015943760474824761
3540,3600,0,0.0095393709380083846,-0.00016462219191109304,0.009374748746097292,0.00015898951563347307,-2.7437031985182173e-06,0.00015624581243495487
3600,3660,0,0.0093287254150241639,-0.00017588998756768999,0.0091528354274564745,0.0001554787569170694,-2.9314997927948332e-06,0.00015254725712427456
3660,3720,0,0.0091311130173596933,-0.00018736900107444734,0.0089437440162852457,0.00015218521695599488,-3.1228166845741223e-06,0.00014906240027142076
3720,3780,0,0.0089745609483997679,-0.0001990379911955692,0.0087755229572041987,0.00014957601580666279,-3.3172998532594866e-06,0.0001462587159534033
3780,3840,0,0.0088312919936019973,-0.00021087664375583903,0.0086204153498461583,0.00014718819989336662,-3.5146107292639838e-06,0.00014367358916410263
3840,3900,0,0.0086969901282879514,-0.00022286173988273188,0.0084741283884052186,0.00014494983547146587,-3.7143623313788649e-06,0.00014123547314008698
3900,3960,0,0.0085682367500212742,-0.00023497127830092186,0.0083332654717203532,0.0001428039458336879,-3.9161879716820313e-06,0.0001388877578620059
3960,4020,0,0.0084250048736401739,-0.00024718038775203019,0.0081778244858881442,0.00014041674789400289,-4.1196731292005028e-06,0.00013629707476480241
4020,4080,0,0.0082636597808580792,-0.00025946047436785878,0.0080041993064902204,0.00013772766301430132,-4.3243412394643134e-06,0.00013340332177483701
4080,4140,0,0.0080832573567205523,-0.00027178261459855383,0.0078114747421219981,0.00013472095594534254,-4.5297102433092306e-06,0.0001301912457020333
4140,4200,0,0.0078732436143936768,-0.00028411493760389667,0.0075891286767897801,0.00013122072690656129,-4.7352489600649443e-06,0.00012648547794649634
4200,4260,0,0.0076574354461768079,-0.00029642575525751485,0.0073610096909192931,0.0001276239241029468,-4.9404292542919144e-06,0.0001226834948486549
4260,4320,0,0.0074664151245007471,-0.00030869568918645302,0.007157719435314294,0.00012444025207501244,-5.1449281531075508e-06,0.0001192953239219049
4320,4380,0,0.0072930109664630649,-0.00032091025553929176,0.0069721007109237731,0.00012155018277438441,-5.3485042589881958e-06,0.00011620167851539622
4380,4440,0,0.0071544345559466649,-0.00033305896046676668,0.0068213755954798982,0.00011924057593244441,-5.5509826744461114e-06,0.0001136895932579983
4440,4500,0,0.0070300639978898571,-0.00034513695181492571,0.0066849270460749314,0.00011716773329816428,-5.7522825302487616e-06,0.00011141545076791552
4500,4560,0,0.0068616620283561414,-0.00035712164427911548,0.0065045403840770259,0.00011436103380593568,-5.9520274046519247e-06,0.00010840900640128377
4560,4620,0,0.0066680575871087555,-0.00036898031202057223,0.0062990772750881833,0.00011113429311847926,-6.149671867009537e-06,0.00010498462125146973
4620,4680,0,0.0064913850520152971,-0.00038069605117114266,0.0061106890008441545,0.00010818975086692162,-6.3449341861857113e-06,0.00010184481668073591
4680,4740,0,0.0063484436081274742,-0.00039226597408722422,0.00595617763404025,0.00010580739346879124,-6.5377662347870702e-06,9.9269627234004171e-05
4740,4800,0,0.0062374331235579561,-0.00040369451053824668,0.0058337386130197094,0.00010395721872596594,-6.7282418423041113e-06,9.7228976883661825e-05
4800,4860,0,0.0061376581785222983,-0.00041498201109640542,0.0057226761674258929,0.00010229430297537165,-6.9163668516067573e-06,9.5377936123764882e-05
