time_h,r0cm,r0.5cm,r1cm,r1.5cm,r2cm
6,1.0169683554429558,0.9881384706421571,0.90152721050868978,0.75500803061282884,0.53277927471237818
12,0.45614938211470746,0.44316463590389005,0.40307668928206408,0.32973880614644047,0.16417574483153594
18,0.29884259644304717,0.29155187552642148,0.26871177172041932,0.22530158552489757,0.08446522636908442
24,0.23779952181573699,0.23273961824345168,0.21672598737517643,0.18554963362807145,0.066461631701381599
30,0.20582402175062092,0.20184528989441183,0.18916747151542371,0.16409167149212184,0.059828385946943931
36,0.18587794516949355,0.18252998729466699,0.17181129124663441,0.15037478329408016,0.056635865743549951
42,0.17206627910035052,0.16913267919393218,0.15970739111202456,0.14070183567206282,0.054840542800035315
48,0.16182768690479959,0.15918849675697447,0.15068577505300157,0.13343001452607756,0.053722304430750371
54,0.15386733306995265,0.15144914983974186,0.14364114069889758,0.12771269292258239,0.05297369545638541
57.4741,0.14999989220803081,0.14768650458296098,0.14020860696530951,0.12491401358169783,0.052646939026722454
